ticker,contract_id,position,market_price,market_value,average_price,unrealized_pnl
AAL,139673266,328.8391,13.6864004,4500.62358978,15.20999997,-501.01911022
AAPL,265598,19.2456,312.230011,6009.0538997,259.85091138,1008.0671997
ABNB,459530964,23.7455,192.69999695,4575.75777758,126.42336443,1573.77177758
ABT,4065,49.3131,116.55999755,5747.93481518,121.71180275,-254.05148482
ADBE,265768,20.4311,276.5499878,5650.22045574,244.77283161,649.24225574
AFRM,465119069,74.8055,77.51999665,5798.9221094,66.8533156,797.9264094
ALB,4347,28.9245,141.6399994,4096.86616265,172.8978997,-904.11913735
AMZN,3691937,64.4724,262.67001345,16934.96617515,212.67186269,3223.50077515
ARKG,172522641,150.5565,47.99499895,7225.95905942,29.90902087,2722.96155942
ASTS,480745767,54.4132,64.8450012,3528.4240193,91.90777605,-1472.5721807
AUNA,692197717,1199.0405,5.2199998,6258.99117019,4.17500368,1252.99267019
BABA,166090175,61.7853,118.94409945,7348.99686775,161.86687934,-2651.99683225
BBAR,390462028,259.6044,14.47999955,3759.07159518,19.26507293,-1242.22610482
BIDU,35359385,33.2357,92.5605011,3076.31304641,150.47051514,-1924.67985359
BLDP,56935150,1059.6387,2.2850001,2421.27453546,4.72359211,-2584.02646454
BMNR,785071865,281.4064,24.5799999,6916.96928386,17.77289998,1915.56148386
CBOE,76227954,18.0329,308.79000855,5568.37934518,277.32609841,567.38554518
CCJ,1447060,41.4666,102.1549988,4236.02047324,120.60296238,-764.97432676
CEPU,305095834,307.4996,13.01000025,4000.56987287,16.26518181,-1000.96702713
CME,45127739,20.0617,278.4299927,5585.77898455,249.2800959,584.79648455
CMG,37655664,221.1088,37.83000185,8364.54631305,36.19033661,362.54441305
COPX,211651700,53.3503,94.1800003,5024.53127001,93.73881309,23.53747001
CRM,29624264,104.1241,209.97999575,21863.97807547,192.09752977,1861.99567547
CRWV,771759702,48.9048,85.51000215,4181.84955315,102.25974138,-819.14264685
DHI,268627,35.8265,148.80000305,5330.98330927,139.58906954,329.99550927
DPZ,29831612,11.7567,345.3049927,4059.64720768,425.45546795,-942.30509232
DT,376427905,265.8552,49.3199997,13111.97838424,37.62195887,3109.98498424
DXYZ,692783792,181,32.7900009,5934.9901629,30.19284365,470.0854629
ENPH,105368327,94.2319,37.43999865,3528.04220879,53.07116698,-1472.95469121
FCX,7089,146.5119,76.82499695,11255.77627064,68.26062456,1254.78247064
GDDY,188986978,57.5342,100.09999845,5759.17333082,86.92213848,758.17763082
GEV,691984365,4.8043,942.6300049,4528.67733254,1040.93347626,-472.27936746
GLOB,160756766,131.337,39.7400017,5219.33260327,38.07760418,218.33430327
HUBS,169544810,25.4498,242.9900055,6184.04704197,196.50442047,1183.04884197
INTU,270662,26.1082,369.5299988,9647.76311467,459.73972162,-2355.21348533
IREN,526906130,95.6052,41.0400009,3923.63749404,52.30887127,-1077.36260596
ISRG,9063285,11.1878,376.56500245,4212.93393441,447.00106366,-788.02456559
JD,152486141,165.4024,29.12000085,4816.51802859,30.23535209,-184.48177141
KD,520488080,453.4234,13.13500025,5955.71647236,11.03221955,953.44997236
LOMA,294363537,399.7025,9.5799999,3829.14991003,12.51430501,-1172.84908997
LUV,9282,116.0495,40.53499985,4704.06646509,43.09364538,-296.92953491
MBGL,893054611,12,20.03499985,240.4199982,19.66001667,4.4997982
MCO,6497,11.264,506.66000365,5707.01828111,443.97862216,706.04308111
MELI,45602025,6.4251,1982.1300049,12735.38349448,1556.5434001,2734.43649448
META,107113386,32.7182,555.37060545,18170.72654323,611.33831629,-1831.16275677
MSCI,47101335,8.5801,569.8499756,4889.36977565,582.86014149,-111.62852435
MSFT,272093,118.5864,488.7000122,57953.17512675,421.69961564,7945.33582675
MSOS,443224436,1112.3466,4.875,5422.689675,4.50000458,417.124875
MSTR,272110,51.6794,125.3714981,6479.12379891,96.76961613,1478.12809891
NEE,75960201,58.459,83.48000335,4880.15751584,85.54710481,-120.84068416
NET,382633646,51.5544,285.14001465,14700.22237127,193.98903682,4699.23397127
NFLX,15124833,68.9403,80.05999755,5519.3602491,72.5409463,518.3656491
NKE,10291,78.6047,40.8849983,3213.75302587,63.62209257,-1787.24247413
NOW,109911821,198.8274,128.32510375,25514.54673334,110.66372643,3511.56573334
NTDOY,41208978,894.4543,13.8199997,12361.35815766,11.18500006,2356.88675766
NVDA,4815747,22.2133,210.41000365,4673.90053408,225.13511725,-327.09336592
NVO,10611,184.5869,46.6549988,8611.901598,54.18045538,-1389.100702
OKLO,500073396,81.9543,40.4700012,3316.69061935,61.02179263,-1684.30768065
ORCL,272800,211.0346,143.8800049,30363.65928207,167.82361091,-5052.92931793
OXY,10880,83.8536,59.7900009,5013.60681947,59.63959329,12.61221947
P,208813725,70.1557,102.62000275,7199.37812693,71.28429907,2198.37822693
PAM,69342639,56.3406,80.0149994,4508.0930752,88.76368906,-492.9064248
