date,open,high,low,close,volume
2024-08-26,555.030000,560.260000,555.030000,559.440000,522614.000000
2024-08-27,554.930000,569.520000,554.340000,567.820000,620208.000000
2024-08-28,568.220000,569.590000,557.670000,560.540000,455277.000000
2024-08-29,567.050000,578.400000,567.050000,569.630000,1005569.000000
2024-08-30,572.200000,575.650000,568.280000,574.410000,593651.000000
2024-09-03,576.300000,586.700000,566.790000,571.040000,1170482.000000
2024-09-04,568.870000,578.860000,565.760000,575.250000,818717.000000
2024-09-05,570.820000,573.390000,562.530000,567.930000,700147.000000
2024-09-06,570.960000,573.310000,558.000000,563.410000,758523.000000
2024-09-09,567.690000,574.570000,564.440000,569.880000,914953.000000
2024-09-10,576.750000,577.800000,567.140000,574.480000,919963.000000
2024-09-11,573.010000,581.240000,559.350000,580.380000,1268394.000000
2024-09-12,581.450000,587.750000,572.980000,586.550000,2086360.000000
2024-09-13,532.570000,540.270000,526.600000,536.870000,6135779.000000
2024-09-16,537.400000,537.690000,521.260000,521.500000,2984472.000000
2024-09-17,524.290000,527.100000,514.580000,515.030000,2694019.000000
2024-09-18,517.010000,517.580000,506.490000,508.130000,2311430.000000
2024-09-19,518.990000,527.480000,518.020000,526.440000,1823605.000000
2024-09-20,525.700000,528.630000,515.720000,522.300000,1716940.000000
2024-09-23,524.990000,532.000000,524.950000,527.870000,850004.000000
2024-09-24,527.710000,530.300000,521.710000,524.070000,831453.000000
2024-09-25,525.230000,526.180000,516.240000,517.900000,1189174.000000
2024-09-26,520.510000,521.360000,512.110000,515.380000,1444349.000000
2024-09-27,516.260000,516.680000,512.300000,515.480000,1182110.000000
2024-09-30,513.670000,518.470000,511.740000,517.780000,975544.000000
2024-10-01,517.450000,519.000000,502.500000,502.800000,1691398.000000
2024-10-02,503.870000,510.190000,502.820000,505.810000,939668.000000
2024-10-03,501.230000,509.810000,498.590000,503.800000,784882.000000
2024-10-04,507.290000,508.560000,503.590000,507.220000,943530.000000
2024-10-07,503.960000,504.870000,486.400000,487.300000,2265895.000000
2024-10-08,492.450000,500.000000,486.400000,496.240000,1869680.000000
2024-10-09,495.880000,495.880000,492.320000,494.080000,1575745.000000
2024-10-10,490.540000,506.450000,489.350000,503.570000,1379084.000000
2024-10-11,504.780000,507.980000,494.900000,495.420000,1524908.000000
2024-10-14,501.800000,514.260000,500.410000,509.650000,1583862.000000
2024-10-15,513.820000,517.780000,506.800000,508.030000,1650304.000000
2024-10-16,506.390000,506.840000,500.250000,502.540000,859650.000000
2024-10-17,506.510000,507.500000,495.230000,496.830000,1030446.000000
2024-10-18,491.140000,499.000000,491.050000,494.900000,983528.000000
2024-10-21,494.600000,500.650000,492.960000,497.710000,678530.000000
2024-10-22,496.430000,497.340000,488.360000,493.110000,997991.000000
2024-10-23,492.500000,493.830000,483.390000,485.030000,896166.000000
2024-10-24,486.630000,488.470000,480.060000,482.870000,972487.000000
2024-10-25,483.420000,488.340000,482.520000,483.720000,909321.000000
2024-10-28,487.800000,488.490000,480.480000,481.040000,769448.000000
2024-10-29,481.920000,487.560000,479.330000,485.390000,773650.000000
2024-10-30,482.240000,492.200000,482.240000,486.680000,948263.000000
2024-10-31,486.000000,486.050000,477.380000,478.080000,1191358.000000
2024-11-01,475.410000,485.160000,475.050000,482.800000,1108545.000000
2024-11-04,479.030000,483.760000,477.370000,481.350000,646562.000000
2024-11-05,483.090000,486.660000,480.470000,486.420000,698875.000000
2024-11-06,492.930000,506.210000,492.930000,504.830000,1293360.000000
2024-11-07,510.660000,510.660000,495.300000,500.920000,1208545.000000
2024-11-08,503.830000,505.000000,493.690000,494.680000,1165642.000000
2024-11-11,493.600000,507.720000,493.600000,504.480000,1228276.000000
2024-11-12,504.390000,528.910000,504.270000,526.420000,1961495.000000
2024-11-13,523.790000,539.920000,520.590000,532.500000,1558248.000000
2024-11-14,530.550000,534.640000,523.460000,529.870000,1098817.000000
2024-11-15,520.080000,524.500000,498.810000,503.370000,1996956.000000
2024-11-18,505.000000,505.510000,497.690000,499.510000,947894.000000
2024-11-19,496.000000,502.410000,495.460000,499.610000,867828.000000
2024-11-20,505.410000,506.360000,494.610000,499.500000,861006.000000
2024-11-21,502.890000,508.570000,493.100000,504.440000,907685.000000
2024-11-22,502.500000,513.370000,502.500000,512.150000,891335.000000
2024-11-25,519.110000,523.210000,513.190000,518.730000,832174.000000
2024-11-26,519.420000,525.760000,516.360000,525.300000,974293.000000
2024-11-27,523.210000,525.880000,508.710000,513.680000,1094282.000000
2024-11-29,517.650000,517.650000,513.580000,515.930000,568184.000000
2024-12-02,513.770000,518.770000,511.530000,516.200000,758438.000000
2024-12-03,511.040000,516.780000,504.500000,516.260000,948999.000000
2024-12-04,523.020000,541.770000,521.000000,536.490000,1527281.000000
2024-12-05,534.080000,540.110000,529.790000,538.220000,1052389.000000
2024-12-06,544.150000,554.370000,542.900000,552.960000,1254384.000000
