date,open,high,low,close,volume
2024-08-26,7.820000,7.850000,7.420000,7.450000,26201.000000
2024-08-27,7.440000,7.690000,7.220000,7.370000,19208.000000
2024-08-28,7.300000,7.360000,6.800000,6.800000,113726.000000
2024-08-29,6.900000,6.900000,6.670000,6.760000,172958.000000
2024-08-30,6.840000,6.840000,6.580000,6.580000,28329.000000
2024-09-03,6.500000,6.880000,6.500000,6.840000,206955.000000
2024-09-04,7.050000,7.050000,6.800000,6.910000,132312.000000
2024-09-05,6.880000,7.070000,6.770000,6.800000,51787.000000
2024-09-06,6.790000,6.850000,6.730000,6.780000,99828.000000
2024-09-09,6.740000,6.950000,6.680000,6.690000,71756.000000
2024-09-10,6.720000,6.860000,6.680000,6.780000,147062.000000
2024-09-11,6.780000,7.160000,6.780000,7.020000,255676.000000
2024-09-12,7.070000,7.780000,7.060000,7.700000,47987.000000
2024-09-13,7.670000,7.780000,7.250000,7.300000,38264.000000
2024-09-16,7.260000,7.310000,7.080000,7.270000,21746.000000
2024-09-17,7.320000,7.460000,7.160000,7.200000,25322.000000
2024-09-18,7.160000,7.500000,7.160000,7.450000,22872.000000
2024-09-19,7.600000,7.600000,7.400000,7.460000,18902.000000
2024-09-20,7.340000,7.530000,7.340000,7.440000,16852.000000
2024-09-23,7.440000,7.580000,7.370000,7.370000,37556.000000
2024-09-24,7.410000,7.580000,7.330000,7.550000,31082.000000
2024-09-25,7.540000,7.550000,7.430000,7.470000,3249.000000
2024-09-26,7.420000,7.590000,7.350000,7.350000,9754.000000
2024-09-27,7.340000,7.370000,7.100000,7.180000,24358.000000
2024-09-30,7.170000,7.270000,6.910000,6.910000,37235.000000
2024-10-01,6.950000,7.100000,6.850000,7.060000,15312.000000
2024-10-02,6.980000,7.160000,6.980000,7.030000,12681.000000
2024-10-03,7.030000,7.110000,6.920000,7.050000,19234.000000
2024-10-04,7.120000,7.330000,6.880000,7.150000,42318.000000
2024-10-07,7.230000,7.230000,6.920000,6.920000,8207.000000
2024-10-08,6.900000,6.950000,6.600000,6.630000,22189.000000
2024-10-09,6.650000,7.110000,6.640000,7.050000,17646.000000
2024-10-10,7.130000,7.170000,6.850000,6.930000,16712.000000
2024-10-11,6.860000,7.090000,6.860000,6.920000,6459.000000
2024-10-14,7.000000,7.240000,6.890000,6.940000,24153.000000
2024-10-15,7.040000,7.090000,6.900000,7.090000,10225.000000
2024-10-16,7.170000,7.220000,6.860000,6.870000,21085.000000
2024-10-17,6.860000,7.300000,6.850000,7.090000,18836.000000
2024-10-18,7.180000,7.250000,7.150000,7.220000,3420.000000
2024-10-21,7.140000,7.240000,7.040000,7.050000,7386.000000
2024-10-22,6.950000,7.000000,6.900000,6.950000,4700.000000
2024-10-23,6.900000,7.120000,6.900000,7.030000,5503.000000
2024-10-24,7.080000,7.130000,6.940000,7.030000,3131.000000
2024-10-25,7.050000,7.100000,6.920000,6.950000,7297.000000
2024-10-28,6.920000,7.030000,6.910000,6.960000,10870.000000
2024-10-29,7.050000,7.120000,6.940000,7.060000,14415.000000
2024-10-30,6.980000,7.130000,6.980000,7.080000,7714.000000
2024-10-31,6.980000,7.030000,6.740000,6.760000,73808.000000
2024-11-01,6.780000,6.860000,6.600000,6.830000,18563.000000
2024-11-04,6.800000,6.850000,6.570000,6.600000,26818.000000
2024-11-05,6.730000,6.760000,6.570000,6.600000,27237.000000
2024-11-06,6.700000,6.720000,6.570000,6.680000,14457.000000
2024-11-07,6.640000,6.910000,6.640000,6.840000,12778.000000
2024-11-08,6.940000,7.100000,6.880000,6.960000,7701.000000
2024-11-11,6.930000,7.000000,6.870000,6.980000,6438.000000
2024-11-12,7.000000,7.050000,6.760000,6.900000,106793.000000
2024-11-13,6.900000,7.010000,6.730000,6.980000,21504.000000
2024-11-14,7.060000,7.200000,7.000000,7.170000,9568.000000
2024-11-15,7.230000,7.230000,6.910000,7.010000,16940.000000
2024-11-18,7.090000,7.110000,6.800000,7.060000,38270.000000
2024-11-19,7.060000,7.360000,6.900000,7.250000,33999.000000
2024-11-20,7.220000,7.360000,6.720000,7.040000,53497.000000
2024-11-21,7.090000,7.190000,6.690000,7.120000,34716.000000
2024-11-22,7.030000,7.110000,6.920000,7.060000,9716.000000
2024-11-25,7.060000,7.250000,6.800000,7.080000,37204.000000
2024-11-26,7.070000,7.680000,6.910000,7.510000,35970.000000
2024-11-27,7.510000,7.600000,7.000000,7.210000,32319.000000
2024-11-29,7.280000,7.280000,7.130000,7.190000,5770.000000
2024-12-02,7.130000,7.200000,6.890000,7.010000,13009.000000
2024-12-03,6.850000,7.070000,6.850000,6.980000,16106.000000
2024-12-04,7.080000,7.090000,6.900000,7.020000,39457.000000
2024-12-05,7.110000,7.110000,6.950000,7.000000,7699.000000
2024-12-06,7.000000,7.100000,6.950000,7.020000,15454.000000
2024-12-09,7.000000,7.050000,6.930000,6.970000,16633.000000
2024-12-10,6.920000,6.970000,6.920000,6.920000,2407.000000
2024-12-11,6.910000,7.010000,6.900000,6.930000,26658.000000
2024-12-12,6.950000,6.990000,6.800000,6.950000,19610.000000
2024-12-13,7.000000,7.000000,6.510000,6.510000,32944.000000
2024-12-16,6.530000,6.800000,6.510000,6.720000,20888.000000
2024-12-17,6.560000,6.760000,6.560000,6.600000,33352.000000
2024-12-18,6.560000,6.780000,6.560000,6.690000,27098.000000
2024-12-19,6.850000,6.850000,6.510000,6.660000,24375.000000
2024-12-20,6.750000,6.840000,6.640000,6.780000,8473.000000
2024-12-23,6.660000,6.800000,6.620000,6.630000,29924.000000
2024-12-24,6.790000,6.940000,6.570000,6.880000,3805.000000
2024-12-26,6.750000,6.820000,6.520000,6.710000,80589.000000
2024-12-27,6.660000,6.920000,6.510000,6.850000,23475.000000
2024-12-30,6.650000,6.800000,6.510000,6.730000,90489.000000
2024-12-31,6.770000,6.900000,6.620000,6.860000,34932.000000
2025-01-02,6.940000,7.160000,6.920000,6.980000,14318.000000
2025-01-03,7.100000,7.100000,6.950000,7.010000,4575.000000
2025-01-06,6.960000,7.010000,6.850000,6.850000,3824.000000
2025-01-07,6.900000,7.010000,6.800000,6.900000,13123.000000
2025-01-08,6.920000,7.250000,6.820000,7.050000,70683.000000
2025-01-10,7.020000,7.150000,6.940000,7.110000,91023.000000
2025-01-13,7.000000,7.400000,6.870000,7.280000,97256.000000
2025-01-14,7.280000,7.770000,7.280000,7.700000,227551.000000
2025-01-15,7.700000,7.700000,7.380000,7.440000,11283.000000
2025-01-16,7.470000,7.690000,7.260000,7.360000,24959.000000
2025-01-17,7.520000,8.450000,7.410000,8.440000,197397.000000
2025-01-21,8.570000,8.880000,8.150000,8.190000,83118.000000
2025-01-22,8.290000,8.430000,7.970000,8.240000,42358.000000
2025-01-23,8.170000,8.210000,8.000000,8.180000,43979.000000
2025-01-24,8.100000,8.340000,8.050000,8.230000,31811.000000
2025-01-27,8.200000,8.500000,8.160000,8.490000,76514.000000
2025-01-28,8.490000,8.620000,8.360000,8.600000,97404.000000
2025-01-29,8.680000,8.770000,8.580000,8.620000,25146.000000
2025-01-30,8.590000,8.700000,8.550000,8.580000,52952.000000
2025-01-31,8.650000,8.690000,8.600000,8.650000,27613.000000
2025-02-03,8.400000,8.450000,8.130000,8.130000,38950.000000
2025-02-04,8.130000,8.190000,7.870000,8.110000,18744.000000
2025-02-05,8.110000,8.180000,7.990000,8.140000,14384.000000
2025-02-06,8.240000,8.290000,8.110000,8.140000,4850.000000
2025-02-07,8.210000,8.300000,8.100000,8.110000,10074.000000
2025-02-10,8.200000,8.200000,8.090000,8.140000,4100.000000
2025-02-11,8.170000,8.200000,8.140000,8.180000,26300.000000
2025-02-12,8.200000,8.720000,8.180000,8.520000,59440.000000
2025-02-13,8.480000,8.910000,8.470000,8.720000,55675.000000
2025-02-14,8.640000,9.240000,8.520000,8.640000,70974.000000
2025-02-18,8.680000,9.100000,8.440000,8.680000,39488.000000
2025-02-19,8.690000,8.820000,8.450000,8.560000,16365.000000
2025-02-20,8.490000,8.530000,8.210000,8.270000,9530.000000
2025-02-21,8.380000,8.380000,8.030000,8.110000,22202.000000
2025-02-24,8.150000,8.300000,8.030000,8.090000,6323.000000
2025-02-25,8.040000,8.330000,8.040000,8.160000,8967.000000
2025-02-26,8.170000,8.250000,8.090000,8.110000,7128.000000
2025-02-27,8.300000,8.300000,7.900000,8.000000,17943.000000
2025-02-28,8.000000,8.720000,7.950000,8.630000,17123.000000
2025-03-03,8.550000,8.550000,7.560000,7.690000,50097.000000
2025-03-04,7.770000,7.930000,7.550000,7.800000,13989.000000
2025-03-05,7.690000,8.060000,7.690000,7.940000,8205.000000
2025-03-06,7.930000,8.140000,7.560000,7.940000,10616.000000
2025-03-07,8.050000,8.320000,7.990000,8.200000,10564.000000
2025-03-10,8.200000,8.330000,7.630000,8.000000,28214.000000
2025-03-11,7.940000,8.120000,7.200000,7.390000,63594.000000
2025-03-12,7.590000,7.870000,6.900000,7.090000,28271.000000
2025-03-13,6.900000,7.570000,6.680000,6.820000,25022.000000
2025-03-14,6.730000,7.090000,6.690000,6.890000,39100.000000
2025-03-17,6.820000,7.300000,6.760000,7.140000,26199.000000
2025-03-18,7.160000,7.490000,6.910000,7.140000,20120.000000
2025-03-19,7.070000,7.280000,6.880000,7.000000,6728.000000
2025-03-20,6.840000,7.170000,6.840000,7.080000,7928.000000
2025-03-21,6.950000,7.470000,6.950000,7.030000,25634.000000
2025-03-24,7.010000,7.300000,7.000000,7.010000,11342.000000
2025-03-25,7.460000,7.470000,7.060000,7.280000,6966.000000
2025-03-26,7.290000,7.330000,7.070000,7.220000,4725.000000
2025-03-27,7.300000,7.440000,7.120000,7.310000,1554.000000
2025-03-28,7.200000,7.500000,7.110000,7.320000,15475.000000
2025-03-31,7.000000,7.290000,7.000000,7.110000,2156.000000
2025-04-01,7.040000,7.200000,7.040000,7.170000,1821.000000
2025-04-02,7.020000,7.190000,6.870000,7.090000,6074.000000
2025-04-03,6.920000,7.250000,6.810000,6.970000,11385.000000
2025-04-04,6.900000,6.910000,6.580000,6.750000,15173.000000
2025-04-07,6.650000,6.920000,6.650000,6.770000,3800.000000
2025-04-08,6.800000,7.320000,6.800000,6.830000,7062.000000
2025-04-09,7.000000,7.500000,6.820000,6.820000,60250.000000
2025-04-10,6.770000,6.980000,6.540000,6.550000,27569.000000
2025-04-11,6.730000,7.200000,6.600000,6.750000,12698.000000
2025-04-14,6.890000,7.290000,6.780000,7.210000,23749.000000
2025-04-15,7.290000,7.290000,6.830000,6.910000,9239.000000
2025-04-16,6.820000,7.000000,6.820000,6.920000,2174.000000
2025-04-17,6.940000,6.970000,6.850000,6.960000,2281.000000
2025-04-21,6.800000,6.880000,6.690000,6.690000,13049.000000
2025-04-22,6.710000,6.970000,6.580000,6.970000,5622.000000
2025-04-23,7.120000,7.150000,6.660000,6.910000,8541.000000
2025-04-24,7.000000,7.000000,6.910000,6.970000,1835.000000
2025-04-25,6.990000,7.000000,6.970000,6.980000,23955.000000
2025-04-28,6.980000,7.130000,6.730000,7.130000,9456.000000
2025-04-29,7.140000,7.190000,7.000000,7.160000,32501.000000
2025-04-30,7.000000,7.390000,6.910000,6.910000,53217.000000
2025-05-01,7.000000,7.160000,6.950000,7.100000,22352.000000
2025-05-02,7.100000,7.120000,6.860000,6.920000,29223.000000
2025-05-05,6.990000,7.000000,6.930000,6.970000,7273.000000
2025-05-06,6.990000,7.000000,6.930000,7.000000,9396.000000
2025-05-07,7.000000,7.000000,6.710000,7.000000,3274.000000
2025-05-08,6.930000,7.000000,6.750000,6.940000,36999.000000
2025-05-09,7.000000,7.000000,6.850000,6.860000,5643.000000
2025-05-12,7.000000,7.000000,6.620000,6.930000,21776.000000
2025-05-13,6.850000,6.940000,6.820000,6.890000,5940.000000
2025-05-14,6.910000,6.970000,6.770000,6.940000,8199.000000
2025-05-15,6.890000,6.970000,6.720000,6.950000,17399.000000
2025-05-16,7.010000,7.010000,6.840000,6.950000,4327.000000
2025-05-19,6.940000,7.200000,6.810000,7.080000,37879.000000
2025-05-20,7.090000,7.100000,6.930000,7.000000,19828.000000
2025-05-21,6.900000,6.980000,6.670000,6.840000,52607.000000
2025-05-22,6.890000,6.890000,6.700000,6.820000,16504.000000
2025-05-23,6.910000,6.910000,6.650000,6.650000,13743.000000
2025-05-27,6.640000,6.970000,6.500000,6.540000,16018.000000
2025-05-28,6.590000,6.680000,6.410000,6.470000,27496.000000
2025-05-29,6.560000,6.700000,6.370000,6.510000,25004.000000
2025-05-30,6.420000,6.610000,6.400000,6.400000,16504.000000
2025-06-02,6.400000,6.690000,6.390000,6.510000,34950.000000
2025-06-03,6.500000,6.660000,6.500000,6.640000,23689.000000
2025-06-04,6.700000,6.700000,6.570000,6.570000,58258.000000
2025-06-05,6.550000,6.620000,6.510000,6.560000,5009.000000
2025-06-06,6.640000,6.640000,6.490000,6.510000,8676.000000
2025-06-09,6.480000,6.550000,6.130000,6.360000,60402.000000
2025-06-10,6.360000,6.490000,6.320000,6.350000,15954.000000
2025-06-11,6.350000,6.350000,6.200000,6.240000,40128.000000
2025-06-12,6.480000,6.480000,6.210000,6.340000,76474.000000
2025-06-13,6.250000,6.480000,6.250000,6.320000,15779.000000
2025-06-16,6.320000,6.600000,6.250000,6.340000,103887.000000
2025-06-17,6.380000,6.470000,6.290000,6.380000,108749.000000
2025-06-18,6.350000,6.370000,6.200000,6.200000,41009.000000
2025-06-20,6.220000,6.440000,6.180000,6.210000,38652.000000
2025-06-23,6.220000,6.330000,6.200000,6.250000,137469.000000
2025-06-24,6.280000,6.360000,6.220000,6.250000,19709.000000
2025-06-25,6.260000,6.350000,6.200000,6.270000,8598.000000
2025-06-26,6.250000,6.350000,6.250000,6.350000,12136.000000
2025-06-27,6.360000,6.370000,6.300000,6.340000,75738.000000
2025-06-30,6.310000,6.350000,6.110000,6.200000,331799.000000
2025-07-01,6.170000,6.370000,6.140000,6.290000,12292.000000
2025-07-02,6.270000,6.350000,6.230000,6.310000,21884.000000
2025-07-03,6.310000,6.350000,6.310000,6.330000,6191.000000
2025-07-07,6.320000,6.320000,6.180000,6.270000,9112.000000
2025-07-08,6.280000,6.330000,6.250000,6.280000,36948.000000
2025-07-09,6.280000,6.420000,6.280000,6.370000,37972.000000
2025-07-10,6.400000,6.440000,6.310000,6.360000,19620.000000
2025-07-11,6.350000,6.420000,6.290000,6.360000,14378.000000
2025-07-14,6.370000,6.420000,6.310000,6.390000,29660.000000
2025-07-15,6.390000,6.470000,6.300000,6.380000,23726.000000
2025-07-16,6.380000,6.490000,6.320000,6.400000,56601.000000
2025-07-17,6.350000,6.550000,6.350000,6.410000,28692.000000
2025-07-18,6.410000,6.480000,6.330000,6.350000,43039.000000
2025-07-21,6.400000,6.510000,6.330000,6.350000,12853.000000
2025-07-22,6.360000,6.500000,6.360000,6.370000,28217.000000
2025-07-23,6.370000,6.410000,6.300000,6.350000,13706.000000
2025-07-24,6.330000,6.440000,6.260000,6.330000,19808.000000
2025-07-25,6.290000,6.380000,6.220000,6.270000,14798.000000
2025-07-28,6.250000,6.320000,6.110000,6.170000,38031.000000
2025-07-29,6.200000,6.280000,6.130000,6.160000,18490.000000
2025-07-30,6.130000,6.210000,6.100000,6.140000,15924.000000
2025-07-31,6.090000,6.310000,6.090000,6.290000,26263.000000
2025-08-01,6.300000,6.320000,6.140000,6.170000,2540.000000
2025-08-04,6.200000,6.300000,6.110000,6.250000,26474.000000
2025-08-05,6.240000,6.320000,6.200000,6.300000,9217.000000
2025-08-06,6.330000,6.330000,6.150000,6.190000,14740.000000
2025-08-07,6.200000,6.340000,6.160000,6.290000,7765.000000
2025-08-08,6.350000,6.450000,6.220000,6.220000,9795.000000
2025-08-11,6.230000,6.320000,6.200000,6.250000,8793.000000
2025-08-12,6.230000,6.350000,6.230000,6.310000,19277.000000
2025-08-13,6.310000,6.360000,6.270000,6.300000,6358.000000
2025-08-14,6.320000,6.380000,6.260000,6.320000,9915.000000
2025-08-15,6.370000,6.370000,6.280000,6.310000,18249.000000
2025-08-18,6.290000,6.480000,6.230000,6.240000,12593.000000
2025-08-19,6.300000,6.390000,6.240000,6.300000,22193.000000
2025-08-20,6.550000,6.630000,6.050000,6.310000,68062.000000
2025-08-21,6.230000,6.370000,6.230000,6.280000,30496.000000
2025-08-22,6.360000,6.360000,6.060000,6.180000,26955.000000
2025-08-25,6.190000,6.270000,6.190000,6.220000,11807.000000
2025-08-26,6.240000,6.650000,6.150000,6.150000,35862.000000
2025-08-27,6.150000,6.360000,6.150000,6.290000,18649.000000
2025-08-28,6.300000,6.320000,6.250000,6.290000,20773.000000
2025-08-29,6.280000,6.330000,6.270000,6.290000,22566.000000
2025-09-02,6.290000,6.410000,6.190000,6.330000,56071.000000
2025-09-03,6.330000,6.360000,6.290000,6.340000,31993.000000
2025-09-04,6.350000,6.440000,6.330000,6.360000,275042.000000
2025-09-05,6.360000,6.400000,6.280000,6.360000,14955.000000
2025-09-08,6.400000,6.400000,6.330000,6.350000,11737.000000
2025-09-09,6.350000,6.400000,6.300000,6.360000,52670.000000
2025-09-10,6.340000,6.390000,6.310000,6.350000,14999.000000
2025-09-11,6.410000,6.420000,6.330000,6.370000,45998.000000
2025-09-12,6.330000,6.380000,6.300000,6.330000,68258.000000
2025-09-15,6.330000,6.400000,6.320000,6.370000,9484.000000
2025-09-16,6.330000,6.400000,6.330000,6.360000,24816.000000
2025-09-17,6.370000,6.390000,6.330000,6.350000,26192.000000
