date,open,high,low,close,volume
2024-08-26,207.100000,208.660000,207.100000,208.430000,708789.000000
2024-08-27,208.910000,212.870000,207.710000,212.400000,605307.000000
2024-08-28,212.720000,215.950000,212.350000,215.120000,785717.000000
2024-08-29,215.010000,215.360000,213.360000,214.100000,401416.000000
2024-08-30,213.530000,215.970000,213.520000,215.740000,439940.000000
2024-09-03,207.630000,212.750000,207.630000,212.640000,1056373.000000
2024-09-04,213.840000,216.140000,212.640000,216.000000,641220.000000
2024-09-05,218.500000,219.510000,217.060000,219.380000,773918.000000
2024-09-06,219.050000,220.800000,218.460000,220.500000,1582925.000000
2024-09-09,220.000000,221.090000,217.740000,218.540000,1077633.000000
2024-09-10,217.760000,219.640000,217.000000,218.480000,795992.000000
2024-09-11,218.660000,218.800000,214.780000,218.590000,1199755.000000
2024-09-12,219.190000,219.230000,215.450000,217.300000,1197878.000000
2024-09-13,218.270000,218.880000,215.530000,216.990000,1334102.000000
2024-09-16,216.050000,219.490000,216.050000,218.530000,744174.000000
2024-09-17,218.190000,219.290000,216.800000,218.180000,1077945.000000
2024-09-18,218.000000,218.360000,214.940000,216.300000,918971.000000
2024-09-19,216.310000,217.110000,214.580000,214.760000,1404263.000000
2024-09-20,213.640000,215.070000,212.380000,213.160000,1287992.000000
2024-09-23,213.470000,216.270000,212.600000,215.860000,560459.000000
2024-09-24,215.860000,218.240000,213.970000,218.160000,931502.000000
2024-09-25,218.520000,219.350000,216.510000,217.520000,969789.000000
2024-09-26,217.540000,218.980000,216.740000,218.470000,988786.000000
2024-09-27,218.470000,220.000000,218.090000,218.300000,938895.000000
2024-09-30,219.230000,221.360000,217.230000,220.650000,886250.000000
2024-10-01,220.990000,225.320000,218.090000,225.280000,958065.000000
2024-10-02,225.950000,225.950000,221.150000,223.570000,1091399.000000
2024-10-03,224.660000,226.780000,223.680000,224.270000,942883.000000
2024-10-04,224.270000,224.820000,222.050000,224.430000,719561.000000
2024-10-07,225.130000,226.500000,221.250000,221.730000,1586306.000000
2024-10-08,222.850000,223.840000,220.560000,221.680000,1082596.000000
2024-10-09,221.580000,223.010000,220.560000,221.460000,739805.000000
2024-10-10,222.000000,222.350000,220.110000,221.250000,428448.000000
