date,open,high,low,close,volume
2024-08-26,45.600000,46.010000,44.960000,45.190000,6510932.000000
2024-08-27,44.970000,45.600000,44.820000,45.230000,4721394.000000
2024-08-28,44.050000,44.310000,43.530000,43.870000,5926882.000000
2024-08-29,43.880000,44.200000,43.470000,43.830000,5555704.000000
2024-08-30,43.890000,44.320000,43.520000,44.280000,4029854.000000
2024-09-03,42.360000,42.390000,40.850000,41.360000,12514265.000000
2024-09-04,41.330000,42.130000,41.000000,41.610000,6880455.000000
2024-09-05,42.090000,42.320000,41.300000,41.400000,5163731.000000
2024-09-06,41.130000,41.400000,39.730000,40.000000,9670779.000000
2024-09-09,40.620000,40.870000,40.180000,40.400000,5751936.000000
2024-09-10,40.290000,40.440000,39.330000,40.410000,6043893.000000
2024-09-11,40.900000,41.410000,40.270000,41.300000,9897261.000000
2024-09-12,41.780000,42.290000,41.590000,41.810000,8400140.000000
2024-09-13,42.140000,43.040000,42.060000,42.660000,7986234.000000
2024-09-16,43.230000,43.690000,42.680000,42.890000,7361122.000000
2024-09-17,42.910000,43.510000,42.830000,43.130000,5047669.000000
2024-09-18,43.170000,44.970000,43.040000,43.920000,7604902.000000
2024-09-19,45.700000,45.850000,44.990000,45.140000,10393676.000000
2024-09-20,44.680000,44.880000,44.350000,44.530000,8847215.000000
2024-09-23,45.000000,45.770000,44.820000,45.140000,7783228.000000
2024-09-24,48.180000,48.980000,47.540000,48.720000,19701794.000000
2024-09-25,48.750000,48.980000,48.140000,48.310000,6393782.000000
2024-09-26,51.090000,52.610000,50.800000,51.910000,24548582.000000
2024-09-27,51.240000,52.060000,51.150000,51.340000,11788702.000000
2024-09-30,50.210000,50.510000,49.440000,49.920000,8777082.000000
2024-10-01,50.550000,50.730000,49.540000,50.380000,6053508.000000
2024-10-02,50.860000,51.450000,50.350000,50.820000,6872638.000000
2024-10-03,49.640000,50.050000,49.280000,49.770000,7071292.000000
2024-10-04,50.610000,51.120000,49.980000,50.550000,5478959.000000
2024-10-07,50.420000,51.190000,50.040000,50.790000,6155714.000000
2024-10-08,48.970000,48.970000,48.040000,48.590000,9253309.000000
2024-10-09,48.020000,48.960000,47.710000,48.870000,4473613.000000
2024-10-10,48.910000,49.830000,48.510000,49.540000,4657316.000000
2024-10-11,49.470000,50.280000,49.370000,50.030000,3866577.000000
2024-10-14,47.920000,49.000000,47.560000,48.860000,8908827.000000
2024-10-15,47.980000,48.140000,47.090000,47.280000,7359972.000000
2024-10-16,47.810000,48.070000,47.330000,47.970000,5124463.000000
2024-10-17,48.260000,48.400000,47.620000,47.950000,4775808.000000
2024-10-18,48.820000,49.100000,48.160000,48.180000,5225081.000000
