date,open,high,low,close,volume
2024-08-26,504.000000,507.620000,496.350000,499.100000,95645.000000
2024-08-27,495.200000,505.900000,492.810000,502.010000,184285.000000
2024-08-28,499.030000,502.000000,490.400000,493.190000,173247.000000
2024-08-29,497.940000,507.300000,496.140000,500.050000,148038.000000
2024-08-30,503.570000,506.550000,493.770000,499.070000,119440.000000
2024-09-03,497.620000,511.100000,491.730000,495.760000,166796.000000
2024-09-04,491.190000,500.190000,486.240000,494.280000,206683.000000
2024-09-05,493.050000,510.000000,491.820000,504.170000,159209.000000
2024-09-06,506.520000,508.220000,492.440000,496.480000,154254.000000
2024-09-09,500.390000,503.620000,492.070000,494.510000,126650.000000
2024-09-10,498.170000,498.840000,487.080000,492.140000,130479.000000
2024-09-11,492.090000,500.230000,488.310000,497.820000,118060.000000
2024-09-12,499.110000,499.110000,490.750000,492.600000,130279.000000
2024-09-13,493.430000,500.940000,490.000000,491.170000,244388.000000
2024-09-16,491.610000,498.780000,488.340000,495.410000,211338.000000
2024-09-17,495.480000,497.070000,488.000000,492.300000,152434.000000
2024-09-18,494.070000,515.000000,488.860000,503.760000,518719.000000
2024-09-19,515.000000,531.800000,510.560000,530.110000,539640.000000
2024-09-20,533.500000,534.590000,522.090000,526.880000,265391.000000
2024-09-23,528.090000,530.000000,522.130000,527.250000,152660.000000
2024-09-24,530.000000,536.540000,524.680000,532.110000,210686.000000
2024-09-25,531.660000,533.530000,527.950000,531.190000,109531.000000
2024-09-26,547.110000,547.230000,530.540000,534.880000,211353.000000
2024-09-27,538.210000,540.760000,531.430000,536.000000,103054.000000
2024-09-30,536.000000,542.590000,530.170000,531.600000,100713.000000
2024-10-01,532.290000,537.320000,523.980000,526.660000,237122.000000
2024-10-02,525.840000,525.840000,510.120000,514.560000,341045.000000
2024-10-03,511.340000,519.990000,510.170000,517.420000,136462.000000
2024-10-04,524.280000,535.390000,521.430000,535.000000,188966.000000
2024-10-07,535.000000,536.580000,520.830000,522.090000,149331.000000
2024-10-08,529.090000,542.310000,525.140000,532.360000,255877.000000
2024-10-09,531.830000,543.010000,531.830000,541.070000,182113.000000
2024-10-10,536.160000,554.250000,536.160000,553.490000,162920.000000
