date,open,high,low,close,volume
2024-08-26,623.000000,633.950000,615.730000,617.120000,821034.000000
2024-08-27,615.480000,628.380000,611.680000,626.320000,489638.000000
2024-08-28,624.320000,627.870000,614.410000,617.040000,322142.000000
2024-08-29,622.640000,631.540000,621.220000,622.800000,287891.000000
2024-08-30,625.020000,631.170000,617.400000,630.260000,765141.000000
2024-09-03,632.640000,638.880000,621.000000,624.810000,399421.000000
2024-09-04,621.030000,626.380000,617.510000,623.100000,246362.000000
2024-09-05,621.360000,622.930000,611.920000,621.480000,239580.000000
2024-09-06,625.000000,626.110000,611.810000,615.120000,268903.000000
2024-09-09,621.490000,628.740000,617.000000,626.990000,334792.000000
2024-09-10,630.610000,633.750000,620.860000,633.620000,228679.000000
2024-09-11,631.690000,645.750000,613.940000,643.920000,430484.000000
2024-09-12,643.730000,646.890000,638.340000,646.370000,485900.000000
2024-09-13,642.900000,660.900000,641.370000,655.310000,459957.000000
2024-09-16,655.240000,656.010000,643.430000,646.250000,332450.000000
2024-09-17,650.000000,650.000000,644.210000,644.820000,359100.000000
2024-09-18,642.930000,646.130000,632.100000,633.070000,342580.000000
2024-09-19,651.060000,660.610000,646.060000,654.240000,649917.000000
2024-09-20,644.590000,651.230000,638.780000,644.990000,804488.000000
2024-09-23,649.500000,649.500000,639.500000,641.970000,274398.000000
2024-09-24,640.960000,643.980000,635.520000,638.200000,413007.000000
2024-09-25,635.470000,643.190000,632.340000,634.740000,314048.000000
2024-09-26,645.450000,645.930000,633.870000,636.830000,416739.000000
2024-09-27,636.830000,638.490000,618.320000,619.030000,497795.000000
2024-09-30,618.200000,623.700000,616.200000,621.000000,454715.000000
2024-10-01,618.020000,618.600000,603.850000,606.280000,766257.000000
2024-10-02,607.400000,612.630000,604.260000,607.280000,447723.000000
2024-10-03,601.310000,607.000000,599.890000,603.810000,319400.000000
2024-10-04,608.200000,614.340000,605.120000,610.670000,315681.000000
2024-10-07,607.030000,610.540000,600.710000,602.430000,523067.000000
2024-10-08,608.010000,614.550000,603.820000,613.370000,481391.000000
2024-10-09,615.000000,621.970000,611.610000,621.610000,534858.000000
2024-10-10,618.000000,621.490000,616.000000,619.300000,453928.000000
2024-10-11,619.180000,622.350000,613.730000,616.680000,550455.000000
2024-10-14,620.310000,620.310000,612.800000,617.160000,274419.000000
2024-10-15,619.820000,623.040000,615.760000,617.890000,419144.000000
2024-10-16,616.580000,618.070000,607.460000,609.390000,403497.000000
2024-10-17,619.080000,619.140000,607.850000,609.230000,420237.000000
2024-10-18,601.410000,615.440000,600.110000,613.290000,369497.000000
2024-10-21,608.230000,615.620000,607.110000,613.930000,293063.000000
2024-10-22,608.920000,613.290000,605.280000,609.590000,322485.000000
2024-10-23,608.020000,609.990000,599.650000,602.010000,427013.000000
2024-10-24,602.910000,608.790000,602.000000,603.980000,335054.000000
2024-10-25,609.080000,617.220000,607.830000,609.270000,316467.000000
2024-10-28,612.840000,613.770000,607.890000,612.090000,431321.000000
2024-10-29,612.080000,625.600000,609.380000,623.700000,344661.000000
2024-10-30,622.910000,629.470000,619.900000,621.110000,350946.000000
2024-10-31,620.170000,621.740000,608.550000,610.300000,515437.000000
2024-11-01,605.000000,626.380000,603.000000,621.740000,596518.000000
2024-11-04,623.000000,624.520000,615.830000,619.010000,485417.000000
2024-11-05,619.860000,622.290000,610.710000,618.830000,724117.000000
2024-11-06,642.410000,668.000000,642.410000,648.390000,1453881.000000
2024-11-07,651.740000,675.100000,651.740000,674.150000,768718.000000
2024-11-08,678.000000,688.880000,672.230000,684.220000,650841.000000
2024-11-11,683.790000,698.960000,682.300000,697.350000,588207.000000
2024-11-12,695.000000,703.880000,694.300000,699.470000,559119.000000
2024-11-13,697.250000,714.780000,695.020000,706.250000,523603.000000
2024-11-14,701.580000,706.000000,693.400000,700.760000,566309.000000
2024-11-15,691.160000,692.850000,680.210000,687.870000,675383.000000
2024-11-18,685.640000,688.120000,675.790000,678.810000,633302.000000
2024-11-19,636.100000,646.870000,632.400000,644.170000,1177700.000000
2024-11-20,641.570000,652.280000,637.600000,650.600000,778720.000000
2024-11-21,659.780000,681.590000,656.750000,678.700000,800412.000000
2024-11-22,668.180000,675.000000,639.150000,640.120000,1479841.000000
2024-11-25,641.610000,651.110000,632.880000,634.620000,908546.000000
2024-11-26,633.000000,641.500000,630.330000,638.830000,776112.000000
2024-11-27,633.920000,641.090000,631.200000,636.170000,598814.000000
2024-11-29,640.880000,645.360000,636.330000,641.730000,264979.000000
2024-12-02,637.050000,640.390000,631.670000,634.070000,550768.000000
2024-12-03,629.600000,636.680000,626.400000,636.020000,409153.000000
2024-12-04,639.000000,660.390000,636.940000,654.640000,621784.000000
2024-12-05,651.960000,653.060000,641.450000,648.700000,454040.000000
2024-12-06,649.170000,654.110000,645.820000,646.470000,368464.000000
2024-12-09,643.610000,650.780000,640.170000,646.580000,393142.000000
2024-12-10,649.290000,659.240000,644.700000,647.070000,516016.000000
2024-12-11,647.070000,670.740000,646.260000,670.560000,662864.000000
2024-12-12,674.030000,676.150000,662.950000,672.250000,569952.000000
2024-12-13,668.990000,672.700000,653.970000,656.450000,652231.000000
2024-12-16,656.780000,672.920000,656.780000,671.500000,466294.000000
2024-12-17,670.000000,679.850000,664.040000,677.770000,657194.000000
2024-12-18,677.010000,677.010000,647.310000,649.810000,828077.000000
2024-12-19,653.760000,661.950000,636.710000,636.950000,663992.000000
2024-12-20,628.280000,648.990000,624.030000,643.390000,1128627.000000
2024-12-23,640.650000,642.250000,633.750000,638.300000,385442.000000
2024-12-24,639.000000,645.540000,636.080000,645.290000,142342.000000
2024-12-26,641.350000,648.990000,640.800000,646.190000,181351.000000
2024-12-27,643.240000,643.240000,631.180000,638.570000,290919.000000
2024-12-30,632.850000,634.130000,623.410000,630.300000,232010.000000
2024-12-31,630.900000,633.660000,626.390000,628.500000,391708.000000
2025-01-02,636.020000,637.730000,619.430000,622.790000,385739.000000
2025-01-03,628.500000,631.000000,624.520000,630.230000,292917.000000
2025-01-06,626.970000,633.400000,623.000000,625.160000,402151.000000
2025-01-07,623.360000,626.650000,611.920000,615.430000,347677.000000
2025-01-08,616.430000,627.610000,613.710000,626.050000,460916.000000
2025-01-10,619.780000,633.620000,617.290000,623.430000,811091.000000
2025-01-13,620.380000,622.000000,612.300000,613.220000,528445.000000
2025-01-14,615.000000,623.990000,614.260000,623.800000,656148.000000
2025-01-15,623.800000,627.500000,610.610000,621.450000,730468.000000
2025-01-16,623.320000,623.750000,606.740000,607.270000,1130190.000000
2025-01-17,615.870000,615.870000,596.200000,604.130000,1417815.000000
2025-01-21,605.990000,611.060000,602.680000,609.410000,594106.000000
2025-01-22,609.680000,617.540000,609.680000,611.680000,356069.000000
2025-01-23,608.800000,608.800000,597.490000,598.300000,904882.000000
2025-01-24,601.990000,602.530000,595.440000,597.950000,748351.000000
2025-01-27,586.070000,614.390000,586.000000,606.620000,688391.000000
2025-01-28,608.620000,613.710000,600.190000,600.660000,689739.000000
2025-01-29,599.650000,603.540000,590.190000,592.990000,615838.000000
2025-01-30,595.340000,605.660000,593.700000,604.600000,473897.000000
2025-01-31,604.880000,610.900000,599.860000,601.510000,524612.000000
2025-02-03,600.090000,601.830000,585.010000,600.760000,983377.000000
2025-02-04,596.340000,608.480000,590.120000,591.720000,563805.000000
2025-02-05,593.420000,593.590000,580.090000,588.260000,918085.000000
2025-02-06,588.260000,595.160000,585.800000,590.200000,591379.000000
2025-02-07,590.890000,596.180000,577.220000,578.850000,527444.000000
2025-02-10,575.000000,588.800000,575.000000,586.840000,619914.000000
2025-02-11,581.090000,591.980000,581.090000,585.880000,936528.000000
2025-02-12,578.070000,580.980000,568.710000,576.540000,774586.000000
2025-02-13,580.560000,592.000000,579.000000,583.900000,704725.000000
2025-02-14,584.690000,591.390000,580.090000,587.380000,609352.000000
2025-02-18,589.860000,590.040000,576.060000,579.940000,982558.000000
2025-02-19,578.740000,582.880000,575.590000,582.190000,931074.000000
2025-02-20,583.020000,586.100000,573.390000,579.080000,804843.000000
2025-02-21,580.010000,582.150000,561.250000,565.470000,905100.000000
2025-02-24,565.960000,572.750000,563.290000,567.240000,923980.000000
2025-02-25,568.320000,571.420000,553.240000,555.630000,1136731.000000
2025-02-26,635.500000,638.990000,615.430000,625.510000,2487727.000000
2025-02-27,625.000000,627.990000,599.630000,600.420000,1073803.000000
2025-02-28,600.920000,614.850000,598.370000,613.840000,1040635.000000
2025-03-03,617.860000,620.810000,599.400000,601.090000,535356.000000
2025-03-04,608.900000,608.900000,587.280000,598.070000,695689.000000
2025-03-05,608.920000,618.400000,601.210000,617.510000,668763.000000
2025-03-06,613.020000,619.860000,602.460000,606.370000,601825.000000
2025-03-07,605.860000,614.630000,594.530000,609.610000,779697.000000
2025-03-10,603.890000,606.350000,575.440000,579.780000,906371.000000
2025-03-11,579.780000,595.110000,577.370000,586.710000,900671.000000
2025-03-12,589.010000,597.270000,585.580000,591.140000,806505.000000
2025-03-13,586.080000,586.180000,563.720000,581.320000,739964.000000
2025-03-14,589.220000,601.540000,586.830000,598.800000,721439.000000
2025-03-17,595.420000,605.330000,591.920000,602.110000,415254.000000
2025-03-18,598.900000,601.560000,591.800000,599.030000,441557.000000
2025-03-19,605.780000,609.040000,597.500000,603.110000,357130.000000
2025-03-20,599.110000,605.580000,596.080000,600.420000,357334.000000
2025-03-21,592.990000,605.250000,590.020000,604.040000,689879.000000
2025-03-24,610.000000,614.290000,605.280000,613.090000,593860.000000
2025-03-25,611.520000,620.930000,605.210000,618.720000,440784.000000
2025-03-26,618.090000,620.270000,613.070000,614.860000,425638.000000
2025-03-27,614.560000,620.610000,612.310000,615.300000,469051.000000
2025-03-28,611.570000,613.790000,595.550000,598.920000,534675.000000
2025-03-31,600.340000,618.000000,593.730000,613.990000,1074732.000000
2025-04-01,610.870000,617.120000,606.150000,613.780000,618901.000000
2025-04-02,605.060000,625.000000,604.960000,620.910000,737768.000000
2025-04-03,604.000000,616.430000,598.200000,598.530000,1080447.000000
2025-04-04,588.100000,594.210000,560.940000,561.530000,1388806.000000
2025-04-07,548.010000,575.890000,532.640000,556.240000,1349521.000000
2025-04-08,564.630000,568.610000,537.550000,544.070000,1231407.000000
2025-04-09,541.540000,598.550000,539.110000,596.480000,1151153.000000
2025-04-10,583.080000,585.970000,558.650000,577.470000,848979.000000
2025-04-11,576.200000,588.460000,569.460000,587.040000,534723.000000
2025-04-14,600.000000,600.000000,585.810000,593.550000,371388.000000
2025-04-15,598.970000,600.560000,591.350000,594.080000,379853.000000
2025-04-16,587.650000,598.070000,581.080000,588.080000,771335.000000
2025-04-17,592.840000,593.910000,584.830000,585.380000,718779.000000
2025-04-21,578.430000,581.370000,559.100000,568.840000,636123.000000
2025-04-22,575.520000,584.840000,571.470000,583.560000,493620.000000
2025-04-23,596.580000,608.730000,593.810000,596.050000,686881.000000
2025-04-24,598.830000,617.100000,596.670000,614.830000,721433.000000
2025-04-25,616.060000,625.210000,612.970000,624.120000,564368.000000
2025-04-28,623.320000,628.600000,614.570000,618.230000,475470.000000
2025-04-29,618.680000,624.190000,616.080000,623.150000,272587.000000
2025-04-30,614.090000,629.310000,610.220000,627.470000,322176.000000
2025-05-01,624.500000,635.180000,622.420000,623.190000,483731.000000
2025-05-02,633.460000,636.810000,627.550000,631.680000,544789.000000
2025-05-05,630.670000,641.510000,629.390000,632.180000,486438.000000
2025-05-06,625.390000,633.910000,622.940000,626.550000,272643.000000
2025-05-07,626.600000,642.470000,626.600000,641.140000,647420.000000
2025-05-08,643.530000,662.500000,641.310000,656.080000,818922.000000
2025-05-09,655.260000,658.190000,650.060000,653.880000,345774.000000
2025-05-12,664.670000,670.600000,654.920000,662.300000,709459.000000
2025-05-13,660.440000,661.390000,651.730000,656.800000,574809.000000
2025-05-14,656.000000,660.470000,652.110000,652.830000,748268.000000
2025-05-15,654.320000,665.370000,652.160000,661.310000,551860.000000
2025-05-16,669.910000,672.810000,662.190000,670.280000,560453.000000
2025-05-19,666.460000,675.000000,663.190000,670.860000,397169.000000
2025-05-20,666.360000,671.500000,663.230000,671.160000,301594.000000
2025-05-21,668.740000,671.070000,659.600000,659.980000,509676.000000
2025-05-22,662.510000,668.150000,659.000000,666.070000,635808.000000
2025-05-23,720.500000,734.180000,714.000000,720.130000,2814025.000000
2025-05-27,725.440000,751.960000,722.450000,751.960000,1816526.000000
2025-05-28,752.000000,758.770000,751.000000,754.450000,1011195.000000
2025-05-29,759.500000,759.500000,746.810000,757.220000,567376.000000
2025-05-30,760.000000,761.020000,747.270000,753.470000,580139.000000
2025-06-02,749.510000,765.080000,748.340000,764.990000,661473.000000
2025-06-03,762.830000,768.090000,758.160000,764.660000,517301.000000
2025-06-04,762.330000,768.060000,762.000000,766.810000,443740.000000
2025-06-05,766.070000,773.450000,763.810000,766.640000,447314.000000
2025-06-06,770.140000,771.860000,764.260000,771.580000,566982.000000
2025-06-09,770.220000,772.000000,762.640000,764.380000,449850.000000
2025-06-10,762.360000,766.190000,754.110000,762.100000,565912.000000
2025-06-11,758.810000,765.460000,754.530000,764.750000,481852.000000
2025-06-12,763.350000,770.770000,763.350000,766.210000,454037.000000
2025-06-13,759.340000,763.010000,752.340000,753.980000,447362.000000
2025-06-16,761.820000,769.920000,757.570000,768.080000,479582.000000
2025-06-17,768.460000,769.640000,761.650000,764.900000,386243.000000
2025-06-18,762.370000,765.590000,750.380000,754.830000,814060.000000
2025-06-20,760.660000,762.390000,755.050000,761.140000,714013.000000
2025-06-23,759.670000,765.000000,754.400000,762.550000,335295.000000
2025-06-24,769.140000,771.140000,758.140000,759.030000,686204.000000
2025-06-25,758.240000,759.620000,751.060000,757.860000,462920.000000
2025-06-26,759.380000,773.390000,758.530000,772.860000,437654.000000
2025-06-27,771.160000,787.220000,771.160000,776.570000,771033.000000
2025-06-30,782.520000,790.500000,779.120000,787.630000,500389.000000
2025-07-01,788.700000,790.600000,765.810000,779.610000,544431.000000
2025-07-02,773.900000,775.330000,765.900000,773.700000,451388.000000
2025-07-03,777.570000,784.540000,776.690000,780.640000,247281.000000
2025-07-07,780.860000,788.130000,778.760000,783.610000,427345.000000
2025-07-08,784.570000,784.620000,775.840000,781.480000,371763.000000
2025-07-09,782.670000,783.000000,766.050000,769.590000,486908.000000
2025-07-10,768.430000,769.980000,745.130000,747.900000,703398.000000
2025-07-11,745.550000,751.860000,743.500000,747.900000,296428.000000
2025-07-14,749.140000,758.870000,747.490000,752.750000,418302.000000
2025-07-15,750.910000,754.500000,742.890000,745.950000,491537.000000
2025-07-16,751.800000,751.800000,742.390000,750.720000,405183.000000
2025-07-17,749.210000,756.450000,748.910000,755.370000,293515.000000
2025-07-18,763.230000,763.230000,750.840000,752.630000,490576.000000
2025-07-21,753.990000,767.940000,751.510000,763.690000,438003.000000
2025-07-22,767.450000,771.120000,760.290000,766.780000,369800.000000
2025-07-23,765.790000,778.060000,759.520000,776.000000,957280.000000
2025-07-24,778.000000,784.170000,775.270000,781.210000,599923.000000
2025-07-25,782.910000,790.500000,780.500000,785.950000,415146.000000
2025-07-28,785.030000,800.500000,783.000000,798.730000,550308.000000
2025-07-29,804.480000,807.930000,794.830000,806.340000,523880.000000
2025-07-30,804.870000,813.700000,800.960000,807.390000,607628.000000
2025-07-31,807.150000,807.150000,783.930000,785.130000,509217.000000
2025-08-01,786.140000,787.380000,772.350000,776.150000,377910.000000
2025-08-04,784.180000,790.540000,781.310000,784.870000,485280.000000
2025-08-05,785.420000,794.090000,767.920000,769.270000,272302.000000
2025-08-06,773.870000,779.670000,765.680000,779.470000,451800.000000
2025-08-07,783.480000,786.280000,752.040000,761.610000,495469.000000
2025-08-08,762.760000,762.760000,747.240000,749.000000,579213.000000
2025-08-11,747.620000,750.550000,702.680000,706.090000,1214685.000000
2025-08-12,707.070000,714.470000,699.050000,713.480000,864367.000000
2025-08-13,714.560000,717.550000,703.960000,711.710000,474097.000000
2025-08-14,711.990000,715.980000,706.120000,710.640000,453620.000000
2025-08-15,712.340000,720.100000,707.500000,716.740000,680872.000000
