date,open,high,low,close,volume
2024-08-26,23.980000,24.130000,23.900000,23.900000,341428.000000
2024-08-27,23.610000,23.900000,23.440000,23.470000,649431.000000
2024-08-28,23.370000,23.580000,22.930000,23.210000,1761528.000000
2024-08-29,23.370000,23.760000,23.370000,23.630000,528740.000000
2024-08-30,23.680000,23.840000,23.410000,23.690000,608947.000000
2024-09-03,23.460000,23.640000,22.650000,22.800000,965039.000000
2024-09-04,22.750000,23.510000,22.720000,23.370000,521152.000000
2024-09-05,23.370000,23.370000,22.870000,23.100000,722287.000000
2024-09-06,23.110000,23.340000,22.430000,22.610000,897198.000000
2024-09-09,22.620000,23.120000,22.410000,23.010000,739205.000000
2024-09-10,23.140000,23.150000,22.590000,22.890000,762967.000000
2024-09-11,22.880000,22.940000,22.360000,22.760000,702602.000000
2024-09-12,22.760000,22.990000,22.610000,22.880000,359351.000000
2024-09-13,23.010000,23.260000,22.870000,22.930000,387622.000000
2024-09-16,22.970000,23.360000,22.960000,23.130000,583804.000000
2024-09-17,23.280000,23.430000,22.920000,22.980000,625495.000000
2024-09-18,23.030000,23.770000,22.940000,23.460000,1204491.000000
2024-09-19,23.920000,24.110000,23.410000,23.750000,513434.000000
2024-09-20,23.700000,24.010000,23.480000,23.880000,811193.000000
2024-09-23,24.000000,24.070000,23.600000,23.620000,642220.000000
2024-09-24,23.650000,23.750000,23.270000,23.450000,394234.000000
2024-09-25,23.370000,23.380000,22.640000,22.700000,621904.000000
2024-09-26,23.130000,23.230000,22.730000,23.010000,1069921.000000
2024-09-27,23.230000,23.230000,22.870000,23.010000,462996.000000
2024-09-30,22.890000,23.140000,22.710000,22.980000,544354.000000
2024-10-01,22.930000,22.950000,22.260000,22.430000,655652.000000
2024-10-02,22.370000,22.850000,22.350000,22.820000,618375.000000
2024-10-03,22.540000,23.200000,22.420000,23.100000,901503.000000
2024-10-04,23.490000,23.700000,23.200000,23.630000,645886.000000
2024-10-07,23.550000,23.840000,23.330000,23.490000,652841.000000
2024-10-08,23.650000,24.470000,23.490000,24.290000,1178501.000000
2024-10-09,24.220000,24.270000,23.950000,24.050000,1069540.000000
2024-10-10,23.870000,24.600000,23.830000,24.580000,883539.000000
2024-10-11,24.650000,24.830000,24.580000,24.790000,648372.000000
2024-10-14,24.900000,25.100000,24.590000,24.840000,506675.000000
2024-10-15,24.950000,25.250000,24.810000,24.930000,603703.000000
2024-10-16,24.920000,25.100000,24.730000,25.030000,555092.000000
2024-10-17,25.120000,25.270000,25.000000,25.020000,623768.000000
2024-10-18,25.040000,25.270000,24.930000,25.160000,463472.000000
2024-10-21,25.000000,25.170000,24.220000,24.410000,654270.000000
2024-10-22,24.350000,24.610000,24.110000,24.330000,702233.000000
2024-10-23,24.190000,24.420000,23.950000,24.010000,531017.000000
2024-10-24,24.120000,24.290000,23.980000,24.080000,481887.000000
2024-10-25,24.230000,24.460000,24.030000,24.070000,774670.000000
2024-10-28,24.200000,24.280000,23.630000,23.770000,1070729.000000
2024-10-29,23.910000,24.290000,23.780000,24.260000,679157.000000
2024-10-30,24.120000,24.320000,23.680000,23.740000,530676.000000
2024-10-31,23.510000,23.710000,22.870000,22.890000,1093442.000000
2024-11-01,23.100000,23.200000,22.910000,22.970000,814452.000000
2024-11-04,22.830000,23.270000,22.680000,23.000000,1159509.000000
2024-11-05,22.900000,23.130000,22.830000,22.990000,1878724.000000
2024-11-06,23.500000,24.590000,23.200000,24.130000,2939713.000000
2024-11-07,25.810000,27.890000,25.530000,27.550000,3436036.000000
2024-11-08,27.290000,28.430000,27.250000,27.710000,2168358.000000
2024-11-11,28.050000,28.390000,27.520000,28.080000,1181917.000000
2024-11-12,28.090000,28.800000,27.950000,28.150000,1579519.000000
2024-11-13,28.190000,28.860000,27.910000,28.700000,1428462.000000
2024-11-14,28.750000,28.930000,28.210000,28.260000,889367.000000
2024-11-15,28.120000,28.120000,27.340000,27.920000,1385832.000000
2024-11-18,27.990000,28.610000,27.950000,28.060000,1352466.000000
2024-11-19,27.790000,28.500000,27.720000,28.040000,1305883.000000
2024-11-20,28.120000,28.690000,27.780000,28.530000,1656629.000000
2024-11-21,29.270000,33.260000,29.260000,32.490000,5156933.000000
2024-11-22,32.830000,33.620000,32.490000,33.050000,3739286.000000
2024-11-25,33.480000,34.330000,33.110000,33.900000,2248724.000000
2024-11-26,33.900000,34.370000,33.510000,34.310000,1718948.000000
2024-11-27,34.130000,34.950000,34.080000,34.820000,1670914.000000
2024-11-29,35.000000,35.230000,34.550000,34.710000,537460.000000
2024-12-02,34.530000,34.870000,33.820000,34.060000,1892220.000000
2024-12-03,34.000000,35.000000,33.810000,34.780000,1509990.000000
2024-12-04,34.990000,35.180000,34.600000,34.810000,1122007.000000
2024-12-05,34.770000,35.180000,34.610000,34.670000,1022727.000000
2024-12-06,34.980000,35.100000,34.410000,34.510000,831223.000000
2024-12-09,34.590000,34.900000,34.140000,34.400000,879461.000000
2024-12-10,34.300000,35.330000,34.220000,35.120000,1220997.000000
2024-12-11,35.150000,35.970000,35.100000,35.790000,1548165.000000
2024-12-12,35.560000,36.430000,35.500000,35.770000,1196332.000000
2024-12-13,35.810000,35.930000,35.210000,35.310000,773009.000000
2024-12-16,35.370000,35.930000,35.370000,35.670000,753975.000000
2024-12-17,35.510000,35.940000,35.140000,35.390000,1039101.000000
2024-12-18,35.320000,35.670000,33.910000,34.100000,1335597.000000
2024-12-19,34.660000,34.900000,34.000000,34.180000,991884.000000
2024-12-20,33.750000,34.850000,33.510000,34.510000,985573.000000
2024-12-23,34.320000,34.650000,34.200000,34.410000,447126.000000
2024-12-24,34.580000,35.070000,34.500000,34.990000,336094.000000
2024-12-26,34.860000,35.490000,34.840000,35.430000,429766.000000
2024-12-27,35.200000,35.570000,34.590000,34.830000,421970.000000
2024-12-30,34.300000,34.840000,34.080000,34.530000,473390.000000
2024-12-31,34.640000,34.980000,34.460000,34.600000,532673.000000
2025-01-02,34.730000,35.740000,33.860000,35.520000,2456874.000000
2025-01-03,37.240000,37.700000,35.900000,37.240000,2767678.000000
2025-01-06,38.550000,39.470000,37.620000,38.730000,2958955.000000
2025-01-07,39.000000,39.330000,37.200000,37.850000,1997906.000000
2025-01-08,37.540000,38.120000,37.270000,37.720000,1385532.000000
2025-01-10,37.000000,37.410000,36.350000,36.740000,1178792.000000
2025-01-13,36.230000,36.900000,36.010000,36.730000,861816.000000
2025-01-14,37.120000,37.860000,37.000000,37.520000,1376506.000000
2025-01-15,38.280000,38.500000,37.670000,38.290000,1236486.000000
2025-01-16,38.530000,39.020000,38.220000,38.340000,1363503.000000
2025-01-17,38.700000,38.810000,38.050000,38.260000,677774.000000
2025-01-21,38.510000,39.220000,38.440000,39.130000,1036220.000000
2025-01-22,39.300000,39.540000,38.610000,38.920000,782605.000000
2025-01-23,38.530000,39.310000,38.030000,39.270000,1024136.000000
2025-01-24,39.210000,39.510000,39.000000,39.330000,709797.000000
2025-01-27,38.190000,38.550000,37.400000,37.930000,1448620.000000
2025-01-28,38.230000,39.060000,37.860000,38.420000,1762934.000000
2025-01-29,38.420000,38.530000,37.790000,38.380000,1404113.000000
2025-01-30,37.460000,38.130000,36.600000,37.710000,2033567.000000
2025-01-31,37.250000,38.340000,37.060000,37.960000,1536567.000000
