date,open,high,low,close,volume
2024-08-26,7.200000,7.210000,7.020000,7.040000,4360041.000000
2024-08-27,6.280000,6.490000,6.050000,6.100000,16842946.000000
2024-08-28,6.270000,6.350000,6.040000,6.050000,7175489.000000
2024-08-29,6.100000,6.300000,5.980000,6.150000,6615527.000000
2024-08-30,6.120000,6.500000,6.120000,6.320000,7403876.000000
2024-09-03,6.500000,6.690000,6.290000,6.500000,11221413.000000
2024-09-04,6.500000,6.780000,6.390000,6.480000,9009371.000000
2024-09-05,6.430000,6.750000,6.430000,6.600000,6867015.000000
2024-09-06,6.570000,6.660000,6.360000,6.410000,5926878.000000
2024-09-09,6.900000,7.240000,6.800000,7.140000,15841419.000000
2024-09-10,7.190000,7.220000,6.910000,6.910000,9865616.000000
2024-09-11,6.950000,7.000000,6.810000,6.860000,7890416.000000
2024-09-12,6.830000,6.960000,6.740000,6.770000,6241067.000000
2024-09-13,6.850000,6.950000,6.740000,6.870000,5040919.000000
2024-09-16,6.850000,7.140000,6.800000,7.040000,9036309.000000
2024-09-17,7.120000,7.130000,6.870000,6.900000,8860263.000000
2024-09-18,6.950000,7.100000,6.800000,6.810000,7070147.000000
2024-09-19,6.900000,6.990000,6.810000,6.860000,7268515.000000
2024-09-20,6.850000,6.870000,6.650000,6.690000,8407597.000000
2024-09-23,6.740000,7.090000,6.650000,7.020000,10236553.000000
2024-09-24,6.850000,7.370000,6.800000,7.200000,8783071.000000
2024-09-25,7.180000,7.210000,6.990000,7.000000,6898184.000000
2024-09-26,7.070000,7.170000,7.000000,7.130000,6909299.000000
2024-09-27,7.230000,7.280000,7.040000,7.070000,6122369.000000
2024-09-30,7.070000,7.330000,7.050000,7.170000,9385573.000000
2024-10-01,7.160000,7.240000,6.960000,6.970000,10698377.000000
2024-10-02,6.980000,7.090000,6.880000,6.970000,6635708.000000
2024-10-03,6.920000,7.140000,6.920000,7.100000,6213487.000000
2024-10-04,7.130000,7.190000,7.020000,7.080000,4820265.000000
2024-10-07,7.030000,7.110000,6.860000,6.870000,5420990.000000
2024-10-08,6.950000,7.010000,6.880000,6.940000,2932787.000000
2024-10-09,6.980000,7.020000,6.840000,6.870000,6468652.000000
2024-10-10,6.830000,6.980000,6.820000,6.880000,4670296.000000
2024-10-11,6.830000,6.910000,6.790000,6.840000,6197733.000000
2024-10-14,6.990000,7.070000,6.860000,7.030000,4860719.000000
2024-10-15,7.010000,7.020000,6.860000,6.890000,7281642.000000
