date,open,high,low,close,volume
2024-08-26,58.140000,58.470000,57.230000,57.370000,8207068.000000
2024-08-27,57.340000,57.460000,56.540000,56.840000,6103379.000000
2024-08-28,56.540000,56.920000,56.230000,56.780000,5353494.000000
2024-08-29,57.000000,57.570000,56.410000,57.210000,6878295.000000
2024-08-30,57.040000,57.110000,56.370000,56.980000,6779442.000000
2024-09-03,56.220000,56.230000,55.280000,55.400000,10306794.000000
2024-09-04,55.400000,55.760000,54.580000,54.630000,7592578.000000
2024-09-05,55.050000,55.060000,53.600000,53.740000,10607882.000000
2024-09-06,53.720000,54.130000,51.790000,52.030000,13415920.000000
2024-09-09,52.150000,52.770000,52.060000,52.180000,7790669.000000
2024-09-10,52.290000,52.310000,50.850000,51.390000,9010420.000000
2024-09-11,51.510000,51.510000,49.900000,50.660000,13147656.000000
2024-09-12,50.950000,51.480000,50.490000,50.990000,8746163.000000
2024-09-13,51.200000,51.810000,50.950000,51.050000,9897939.000000
2024-09-16,51.230000,51.910000,50.980000,51.290000,7362975.000000
2024-09-17,51.280000,52.140000,51.210000,52.060000,8823932.000000
2024-09-18,51.800000,52.580000,51.630000,51.750000,6926392.000000
2024-09-19,52.630000,52.720000,51.900000,52.030000,7662787.000000
2024-09-20,51.800000,51.810000,50.880000,51.640000,7421394.000000
2024-09-23,51.810000,52.870000,51.640000,52.240000,6864241.000000
2024-09-24,53.000000,53.110000,52.260000,52.400000,6145769.000000
2024-09-25,51.940000,52.360000,51.030000,51.120000,7947051.000000
2024-09-26,50.210000,50.630000,49.750000,49.910000,16588654.000000
2024-09-27,50.130000,51.160000,50.050000,51.030000,10375600.000000
2024-09-30,51.160000,52.060000,50.350000,51.540000,16594945.000000
2024-10-01,51.230000,53.770000,50.930000,53.250000,19619485.000000
2024-10-02,54.020000,54.050000,52.330000,53.440000,17774507.000000
2024-10-03,53.530000,54.890000,53.220000,54.790000,13357054.000000
2024-10-04,55.130000,55.800000,54.360000,55.760000,10533957.000000
2024-10-07,55.980000,56.490000,55.660000,55.910000,9463763.000000
2024-10-08,54.910000,54.930000,53.780000,54.320000,9177913.000000
2024-10-09,53.800000,54.350000,53.560000,53.900000,6366667.000000
2024-10-10,54.340000,54.870000,53.830000,54.570000,5030653.000000
2024-10-11,54.350000,55.240000,54.230000,54.760000,4958555.000000
2024-10-14,54.270000,54.400000,53.400000,53.910000,7839583.000000
2024-10-15,52.690000,52.690000,51.530000,51.560000,10932387.000000
2024-10-16,51.820000,52.040000,51.240000,51.260000,6391793.000000
2024-10-17,51.250000,51.760000,51.080000,51.720000,5423342.000000
2024-10-18,51.710000,51.830000,51.100000,51.660000,7204276.000000
2024-10-21,52.050000,52.340000,51.500000,51.820000,6276625.000000
2024-10-22,52.140000,52.610000,51.930000,52.100000,4950268.000000
2024-10-23,52.000000,52.090000,51.140000,51.320000,5168170.000000
2024-10-24,51.330000,51.680000,51.200000,51.350000,6917272.000000
2024-10-25,51.640000,51.840000,51.190000,51.580000,6679886.000000
2024-10-28,50.500000,50.930000,50.330000,50.630000,7501541.000000
2024-10-29,50.580000,50.700000,49.960000,50.080000,6158325.000000
2024-10-30,50.330000,50.470000,49.930000,50.170000,5067861.000000
2024-10-31,50.340000,50.630000,49.660000,50.110000,8309460.000000
2024-11-01,50.500000,50.600000,49.510000,49.570000,7914583.000000
2024-11-04,49.890000,50.670000,49.870000,50.560000,6420069.000000
2024-11-05,50.700000,50.700000,50.060000,50.400000,5398163.000000
2024-11-06,51.150000,51.970000,50.820000,51.390000,13533282.000000
2024-11-07,51.480000,51.580000,50.970000,51.210000,7004567.000000
2024-11-08,51.020000,51.030000,49.930000,50.530000,9791814.000000
2024-11-11,50.300000,51.070000,49.930000,50.810000,7708527.000000
2024-11-12,51.100000,51.320000,50.270000,50.290000,8114429.000000
2024-11-13,50.760000,51.480000,48.420000,51.120000,19091964.000000
2024-11-14,51.680000,52.300000,50.010000,50.670000,9549065.000000
2024-11-15,50.470000,50.600000,49.710000,49.970000,8792198.000000
2024-11-18,50.330000,51.270000,50.150000,50.910000,8816296.000000
2024-11-19,50.680000,50.950000,50.090000,50.500000,5528038.000000
