date,open,high,low,close,volume
2024-08-26,1.070000,1.070000,0.990000,1.000000,2415720.000000
2024-08-27,0.999400,1.010000,0.964600,0.990900,2001198.000000
2024-08-28,0.980000,0.998000,0.940800,0.951700,2191689.000000
2024-08-29,0.980000,1.040000,0.980000,1.000000,2596488.000000
2024-08-30,1.020000,1.030000,0.960100,1.010000,1717304.000000
2024-09-03,1.010000,1.010000,0.923600,0.941400,1604643.000000
2024-09-04,0.950000,0.968600,0.910000,0.928800,1006838.000000
2024-09-05,0.910000,0.963400,0.910000,0.921900,987827.000000
2024-09-06,0.920000,0.940000,0.860100,0.880000,1997991.000000
2024-09-09,0.871700,0.900000,0.800000,0.842900,3820025.000000
2024-09-10,0.850700,0.940000,0.850000,0.936000,2018730.000000
2024-09-11,0.940000,1.010000,0.915000,0.996600,2001540.000000
2024-09-12,1.000000,1.010000,0.968500,1.000000,1491943.000000
2024-09-13,1.020000,1.030000,0.990100,1.010000,1570555.000000
2024-09-16,0.990000,1.000000,0.965500,0.983400,939965.000000
2024-09-17,0.980000,1.010000,0.980000,0.997900,1103984.000000
2024-09-18,1.000000,1.020000,0.965600,0.965600,976036.000000
2024-09-19,0.994500,1.010000,0.960000,0.960000,1106804.000000
2024-09-20,0.970000,0.984900,0.927400,0.927400,1960276.000000
2024-09-23,0.940000,0.948100,0.900000,0.900000,1725904.000000
2024-09-24,0.900000,0.960000,0.900000,0.940000,1215994.000000
2024-09-25,0.960000,0.999000,0.948000,0.952100,976240.000000
2024-09-26,0.969300,0.983900,0.933100,0.980100,1107924.000000
2024-09-27,1.000000,1.070000,0.996000,1.030000,4352286.000000
2024-09-30,1.020000,1.030000,0.970000,0.982900,2491908.000000
2024-10-01,0.980000,1.000000,0.912000,0.920000,2243913.000000
2024-10-02,0.925000,0.943800,0.904000,0.918200,1084422.000000
2024-10-03,0.935400,0.948000,0.903000,0.919500,1092421.000000
2024-10-04,0.930000,1.010000,0.927500,1.000000,2304017.000000
2024-10-07,1.000000,1.000000,0.930200,0.960000,1791508.000000
2024-10-08,0.950000,0.984900,0.910600,0.916200,2714944.000000
2024-10-09,0.911000,0.932800,0.900000,0.912400,1798183.000000
2024-10-10,0.901500,0.910000,0.872400,0.893100,1842133.000000
2024-10-11,0.880000,0.988600,0.875000,0.970000,4213288.000000
