date,open,high,low,close,volume
2026-06-12,150.000000,176.520000,135.000000,160.950000,331231076.000000
2026-06-15,171.790000,193.000000,168.350000,192.500000,161336979.000000
2026-06-16,200.510000,225.640000,195.130000,201.800000,191664308.000000
2026-06-17,209.840000,213.800000,187.010000,191.820000,126125119.000000
2026-06-18,188.340000,190.000000,172.110000,185.000000,128571659.000000
2026-06-22,176.050000,176.670000,154.000000,154.600000,109179716.000000
2026-06-23,151.130000,165.500000,147.110000,156.110000,94308384.000000
2026-06-24,154.250000,159.860000,150.720000,154.540000,43510400.000000
2026-06-25,156.650000,160.650000,150.000000,153.000000,36084212.000000
2026-06-26,150.620000,158.400000,148.510000,153.230000,47856419.000000
2026-06-29,157.360000,166.170000,151.730000,164.190000,47774858.000000
2026-06-30,163.380000,172.400000,161.640000,170.860000,51592192.000000
2026-07-01,171.560000,171.740000,155.000000,157.540000,62098097.000000
2026-07-02,159.730000,162.160000,155.880000,162.000000,35106784.000000
2026-07-06,165.950000,167.900000,155.040000,160.420000,55407657.000000
2026-07-07,158.920000,159.300000,148.870000,149.470000,45619361.000000
2026-07-08,152.550000,152.930000,145.200000,148.300000,35555874.000000
2026-07-09,150.450000,153.500000,147.590000,152.160000,29452481.000000
2026-07-10,150.130000,150.570000,145.070000,145.300000,28077718.000000
2026-07-13,144.600000,144.920000,136.780000,139.140000,40527236.000000
2026-07-14,140.950000,143.330000,135.520000,136.080000,28526478.000000
2026-07-15,137.510000,139.340000,132.150000,135.270000,35407582.000000
2026-07-16,135.010000,137.760000,130.740000,131.110000,35437343.000000
2026-07-17,127.630000,130.330000,122.120000,123.990000,54321971.000000
2026-07-20,125.220000,125.660000,119.680000,119.850000,36349541.000000
2026-07-21,122.100000,129.880000,120.360000,123.540000,53518818.000000
2026-07-22,123.310000,124.770000,115.190000,115.260000,54360558.000000
2026-07-23,115.180000,118.550000,110.850000,118.240000,50827550.000000
2026-07-24,116.020000,117.000000,111.400000,115.070000,36588421.000000
2026-07-27,113.460000,114.850000,108.660000,113.500000,40890493.000000
2026-07-28,109.320000,118.130000,107.010000,116.410000,57341140.000000
2026-07-29,114.400000,117.590000,110.350000,112.550000,37113367.000000
2026-07-30,115.030000,118.930000,111.350000,112.200000,37976515.000000
2026-07-31,113.030000,113.640000,107.570000,108.370000,34879891.000000
2026-08-03,106.420000,114.920000,104.830000,114.530000,46760277.000000
2026-08-04,117.320000,126.710000,115.720000,125.330000,78692252.000000
2026-08-05,112.370000,117.500000,106.660000,108.270000,140475136.000000
2026-08-06,107.080000,115.750000,105.130000,114.920000,149751612.000000
2026-08-07,114.970000,133.480000,114.590000,133.110000,172394830.000000
2026-08-10,134.950000,139.240000,130.170000,138.740000,115736023.000000
2026-08-11,138.660000,139.980000,130.500000,133.290000,80266730.000000
2026-08-12,135.030000,149.600000,134.010000,146.150000,120898157.000000
2026-08-13,143.750000,145.050000,139.760000,141.290000,83474633.000000
2026-08-14,142.920000,144.020000,135.500000,140.000000,67288274.000000
2026-08-17,139.990000,149.800000,139.580000,146.230000,85161601.000000
2026-08-18,140.730000,146.460000,139.450000,143.340000,56792356.000000
2026-08-19,144.960000,144.980000,136.720000,139.650000,52454954.000000
2026-08-20,137.200000,137.880000,130.390000,134.000000,85124352.000000
2026-08-21,134.270000,137.350000,131.220000,136.970000,57281377.000000
2026-08-24,134.350000,138.330000,133.130000,135.650000,14629212.000000
