date,open,high,low,close,volume
2024-08-26,160.340000,165.980000,160.340000,165.020000,1184370.000000
2024-08-27,164.090000,166.890000,163.850000,164.320000,854888.000000
2024-08-28,163.110000,163.870000,159.930000,161.940000,978244.000000
2024-08-29,163.180000,169.720000,163.180000,167.450000,660765.000000
2024-08-30,167.700000,168.310000,165.390000,165.600000,434420.000000
2024-09-03,163.250000,165.490000,162.420000,163.800000,802351.000000
2024-09-04,161.670000,165.390000,160.650000,162.300000,895639.000000
2024-09-05,160.000000,162.700000,159.100000,161.900000,1120676.000000
2024-09-06,162.490000,165.370000,159.000000,161.310000,1139581.000000
2024-09-09,162.640000,165.840000,161.980000,162.690000,667469.000000
2024-09-10,163.710000,163.710000,157.940000,162.250000,829228.000000
2024-09-11,163.010000,167.200000,161.390000,166.100000,684555.000000
2024-09-12,166.350000,168.670000,165.310000,165.690000,460146.000000
2024-09-13,165.780000,166.370000,162.810000,163.740000,1052052.000000
2024-09-16,163.600000,165.750000,162.990000,165.150000,889101.000000
2024-09-17,160.190000,162.000000,154.070000,155.820000,2072024.000000
2024-09-18,156.680000,163.310000,156.010000,159.840000,1515596.000000
2024-09-19,163.070000,166.880000,161.100000,163.100000,1136005.000000
2024-09-20,163.110000,163.920000,161.520000,163.080000,1023177.000000
2024-09-23,163.690000,164.130000,160.820000,161.980000,663314.000000
2024-09-24,161.770000,165.160000,161.010000,162.620000,1207339.000000
2024-09-25,161.850000,163.790000,160.450000,161.900000,1159813.000000
2024-09-26,163.990000,164.680000,160.750000,163.140000,757160.000000
2024-09-27,163.990000,163.990000,160.410000,161.220000,834605.000000
2024-09-30,161.130000,162.240000,157.950000,158.810000,579028.000000
2024-10-01,163.470000,163.470000,155.370000,161.420000,1571246.000000
2024-10-02,161.920000,162.630000,159.020000,160.240000,450591.000000
2024-10-03,158.000000,161.190000,157.790000,160.440000,524923.000000
2024-10-04,162.000000,171.840000,161.080000,171.000000,1074064.000000
2024-10-07,170.240000,171.300000,167.250000,167.530000,827043.000000
2024-10-08,167.180000,170.900000,165.920000,168.020000,717150.000000
2024-10-09,168.020000,177.630000,168.020000,177.100000,1074212.000000
2024-10-10,176.730000,184.530000,175.590000,184.000000,1221033.000000
2024-10-11,185.500000,192.320000,185.370000,187.060000,1810323.000000
2024-10-14,189.810000,196.250000,189.350000,194.000000,2462013.000000
2024-10-15,193.000000,195.610000,190.270000,190.890000,948456.000000
2024-10-16,191.900000,193.000000,187.240000,189.350000,1038461.000000
2024-10-17,190.990000,191.670000,186.120000,188.500000,702647.000000
2024-10-18,188.790000,193.880000,186.530000,191.700000,894818.000000
2024-10-21,190.300000,193.690000,189.810000,192.830000,991585.000000
2024-10-22,190.840000,195.950000,190.350000,193.870000,864690.000000
2024-10-23,191.790000,192.860000,186.980000,188.760000,728354.000000
2024-10-24,187.770000,191.750000,187.370000,189.350000,817809.000000
2024-10-25,190.540000,192.970000,188.230000,188.730000,945912.000000
2024-10-28,190.290000,190.310000,187.750000,188.660000,775367.000000
2024-10-29,190.000000,193.300000,187.570000,191.740000,1108062.000000
2024-10-30,190.340000,194.950000,190.260000,190.440000,1196057.000000
2024-10-31,190.360000,191.340000,187.640000,188.540000,2031841.000000
2024-11-01,225.450000,229.160000,214.690000,224.350000,6478739.000000
2024-11-04,216.650000,221.380000,215.000000,218.960000,2173114.000000
2024-11-05,218.330000,222.400000,214.890000,221.580000,1878665.000000
2024-11-06,223.990000,228.250000,221.490000,225.570000,1431096.000000
2024-11-07,225.750000,236.280000,225.750000,233.960000,1519571.000000
2024-11-08,233.890000,238.290000,231.830000,237.800000,1413041.000000
2024-11-11,238.000000,247.150000,237.800000,245.850000,1837828.000000
2024-11-12,242.010000,248.600000,241.930000,245.280000,1498405.000000
2024-11-13,244.990000,255.010000,244.300000,252.780000,1489195.000000
2024-11-14,250.160000,256.390000,248.730000,249.990000,1777304.000000
2024-11-15,244.730000,247.570000,238.380000,240.040000,1208838.000000
2024-11-18,239.300000,242.020000,236.680000,238.690000,1311909.000000
2024-11-19,238.380000,248.010000,235.530000,247.730000,1748534.000000
2024-11-20,247.330000,249.920000,241.820000,245.450000,815562.000000
2024-11-21,246.450000,255.870000,246.450000,253.970000,1398151.000000
2024-11-22,254.990000,262.000000,253.260000,260.580000,1351640.000000
2024-11-25,262.400000,269.400000,260.000000,261.000000,1314150.000000
2024-11-26,261.490000,264.630000,260.210000,262.230000,679075.000000
2024-11-27,261.600000,263.690000,258.000000,262.460000,744669.000000
2024-11-29,262.410000,265.890000,261.840000,263.580000,384871.000000
2024-12-02,263.000000,267.610000,262.840000,265.880000,485450.000000
2024-12-03,264.740000,269.390000,264.000000,268.360000,633893.000000
2024-12-04,274.740000,287.970000,268.300000,287.500000,1886558.000000
2024-12-05,283.250000,285.380000,276.000000,276.720000,1015239.000000
2024-12-06,279.310000,280.880000,276.740000,278.500000,1528768.000000
2024-12-09,279.750000,281.660000,272.330000,273.140000,1341296.000000
2024-12-10,273.400000,276.790000,264.340000,266.450000,1370690.000000
2024-12-11,269.450000,274.960000,267.020000,274.650000,951934.000000
2024-12-12,271.750000,279.810000,271.750000,279.180000,795937.000000
2024-12-13,276.550000,279.900000,274.580000,278.650000,776572.000000
2024-12-16,276.290000,280.440000,274.850000,278.090000,448625.000000
2024-12-17,277.210000,278.930000,269.430000,269.790000,1640635.000000
2024-12-18,269.310000,270.280000,249.620000,250.190000,1752387.000000
2024-12-19,255.570000,259.150000,249.400000,251.230000,863770.000000
2024-12-20,247.080000,257.810000,246.010000,257.260000,920751.000000
2024-12-23,259.490000,259.490000,250.370000,251.400000,756639.000000
2024-12-24,252.690000,257.720000,251.020000,257.490000,507700.000000
2024-12-26,255.390000,256.900000,254.190000,254.240000,508726.000000
2024-12-27,253.660000,253.660000,247.560000,250.110000,328832.000000
2024-12-30,246.230000,248.860000,243.390000,247.100000,366774.000000
2024-12-31,248.250000,248.770000,241.510000,243.380000,399319.000000
2025-01-02,245.360000,246.370000,239.920000,242.390000,927115.000000
2025-01-03,244.510000,251.000000,242.890000,250.270000,1025264.000000
2025-01-06,255.250000,259.500000,251.430000,254.630000,817819.000000
2025-01-07,259.720000,262.110000,246.590000,247.850000,759760.000000
2025-01-08,245.370000,248.550000,239.960000,244.490000,456292.000000
2025-01-10,248.280000,248.580000,241.430000,242.390000,912461.000000
2025-01-13,238.810000,239.790000,235.440000,236.240000,533406.000000
2025-01-14,239.730000,247.330000,238.410000,246.400000,1164088.000000
2025-01-15,254.940000,258.780000,248.080000,250.030000,909601.000000
2025-01-16,255.160000,256.320000,252.540000,254.250000,921806.000000
2025-01-17,259.850000,259.850000,251.490000,252.360000,578272.000000
2025-01-21,254.040000,257.850000,252.050000,256.190000,538862.000000
2025-01-22,260.350000,261.200000,257.450000,260.850000,667766.000000
2025-01-23,261.660000,269.380000,258.630000,265.700000,935493.000000
2025-01-24,267.410000,271.530000,264.030000,264.810000,593921.000000
2025-01-27,262.590000,277.150000,260.450000,268.000000,985413.000000
2025-01-28,266.170000,282.000000,264.900000,274.710000,1565031.000000
2025-01-29,273.490000,274.770000,266.230000,271.330000,888555.000000
2025-01-30,264.650000,270.870000,262.380000,266.950000,1939245.000000
2025-01-31,320.340000,324.370000,300.790000,306.780000,5506928.000000
2025-02-03,299.110000,315.670000,296.000000,311.400000,1702224.000000
2025-02-04,310.810000,322.000000,310.470000,316.730000,1065410.000000
2025-02-05,317.210000,321.530000,314.430000,320.800000,848856.000000
2025-02-06,320.410000,324.200000,318.010000,319.000000,767394.000000
2025-02-07,320.450000,322.510000,312.930000,314.280000,600835.000000
2025-02-10,319.840000,326.000000,316.500000,322.940000,1026211.000000
2025-02-11,318.480000,324.160000,314.810000,315.000000,630476.000000
2025-02-12,313.630000,318.500000,310.630000,318.450000,601352.000000
2025-02-13,318.450000,320.880000,313.770000,316.000000,810422.000000
2025-02-14,312.580000,314.350000,307.310000,313.100000,1182718.000000
2025-02-18,314.000000,316.990000,308.800000,315.440000,1106573.000000
2025-02-19,311.270000,315.030000,302.520000,303.720000,1280305.000000
2025-02-20,299.810000,303.330000,293.050000,298.490000,929842.000000
2025-02-21,296.860000,298.630000,283.460000,285.990000,872334.000000
2025-02-24,286.190000,286.770000,274.700000,284.060000,772344.000000
2025-02-25,280.200000,285.860000,273.540000,284.260000,762971.000000
2025-02-26,286.000000,293.530000,286.000000,288.760000,1040824.000000
2025-02-27,291.610000,295.910000,278.150000,278.480000,765276.000000
2025-02-28,277.300000,284.350000,273.930000,284.260000,918187.000000
2025-03-03,284.700000,287.260000,272.500000,274.220000,891406.000000
2025-03-04,270.200000,278.110000,262.270000,273.620000,1010878.000000
2025-03-05,273.870000,277.210000,269.000000,276.730000,1073700.000000
2025-03-06,268.690000,271.460000,249.540000,250.660000,1360617.000000
2025-03-07,249.620000,251.000000,229.190000,238.860000,2362758.000000
2025-03-10,230.580000,231.110000,212.970000,215.890000,3062954.000000
2025-03-11,216.080000,226.940000,215.900000,224.100000,2343869.000000
2025-03-12,230.960000,233.200000,224.390000,226.440000,1515218.000000
2025-03-13,224.020000,224.190000,207.510000,208.000000,2595194.000000
2025-03-14,214.300000,221.240000,212.690000,218.440000,1876647.000000
2025-03-17,216.300000,224.520000,216.180000,220.980000,1138465.000000
2025-03-18,219.990000,221.470000,213.040000,219.450000,1393923.000000
2025-03-19,220.340000,233.560000,219.980000,229.860000,1730190.000000
2025-03-20,226.330000,230.890000,224.280000,226.160000,1256274.000000
2025-03-21,222.060000,228.110000,218.420000,227.340000,988420.000000
2025-03-24,233.640000,236.500000,231.490000,234.620000,903440.000000
2025-03-25,236.780000,238.710000,234.020000,236.220000,804196.000000
2025-03-26,235.000000,237.320000,227.440000,229.650000,515653.000000
2025-03-27,227.710000,228.060000,221.780000,222.640000,731962.000000
2025-03-28,221.500000,223.110000,214.010000,217.990000,1058173.000000
2025-03-31,212.170000,213.500000,205.420000,212.210000,1202331.000000
2025-04-01,211.170000,216.450000,207.480000,216.410000,1237490.000000
2025-04-02,215.470000,227.310000,214.000000,223.960000,1257927.000000
