date,open,high,low,close,volume
2024-08-26,218.760000,219.090000,211.010000,213.210000,44224796.000000
2024-08-27,213.140000,215.660000,206.970000,209.210000,47790605.000000
2024-08-28,209.820000,211.840000,202.590000,205.750000,47018379.000000
2024-08-29,209.800000,214.890000,205.970000,206.280000,47328793.000000
2024-08-30,208.630000,214.580000,207.030000,214.110000,46354096.000000
2024-09-03,215.260000,219.910000,209.640000,210.600000,56432955.000000
2024-09-04,210.590000,222.220000,210.570000,219.410000,61105817.000000
2024-09-05,223.490000,235.000000,222.250000,230.170000,90937471.000000
2024-09-06,232.630000,233.600000,210.510000,210.730000,78641273.000000
2024-09-09,216.030000,219.870000,213.670000,216.270000,49205686.000000
2024-09-10,220.070000,226.400000,218.630000,226.170000,60001609.000000
2024-09-11,224.500000,228.470000,216.800000,228.130000,64513270.000000
2024-09-12,224.660000,231.450000,223.830000,229.810000,54117261.000000
2024-09-13,227.920000,232.670000,226.320000,230.290000,45488454.000000
2024-09-16,229.300000,229.960000,223.530000,226.780000,41178193.000000
2024-09-17,229.450000,234.570000,226.550000,227.870000,49986254.000000
2024-09-18,230.090000,235.680000,226.880000,227.200000,59558689.000000
2024-09-19,234.010000,244.240000,232.130000,243.920000,73703423.000000
2024-09-20,241.490000,243.990000,235.920000,238.250000,58641783.000000
2024-09-23,242.610000,250.000000,241.920000,250.000000,59557425.000000
2024-09-24,254.130000,257.190000,249.050000,254.270000,61942041.000000
2024-09-25,252.550000,257.050000,252.280000,257.020000,48227466.000000
2024-09-26,260.600000,261.750000,251.530000,254.220000,46758516.000000
2024-09-27,257.310000,260.700000,254.120000,260.460000,50657445.000000
2024-09-30,259.020000,264.860000,255.770000,261.630000,58871075.000000
2024-10-01,262.670000,263.980000,248.530000,258.020000,65348703.000000
2024-10-02,247.660000,251.160000,241.500000,249.020000,65792953.000000
2024-10-03,244.480000,249.790000,237.810000,240.660000,60568001.000000
2024-10-04,246.600000,250.960000,244.580000,250.080000,63596419.000000
2024-10-07,249.000000,249.830000,240.720000,240.830000,46773174.000000
2024-10-08,243.540000,246.210000,240.560000,244.500000,39273492.000000
2024-10-09,243.750000,247.430000,239.510000,241.050000,50256891.000000
2024-10-10,241.810000,242.790000,232.340000,238.770000,62745211.000000
2024-10-11,220.100000,223.340000,214.380000,217.800000,93305100.000000
2024-10-14,220.130000,221.910000,213.740000,219.160000,60751784.000000
2024-10-15,220.130000,224.260000,217.120000,219.570000,45912773.000000
2024-10-16,221.410000,222.820000,218.930000,221.330000,37627787.000000
2024-10-17,221.590000,222.080000,217.940000,220.890000,35329563.000000
2024-10-18,220.710000,222.280000,219.230000,220.700000,32756827.000000
2024-10-21,218.910000,220.480000,215.720000,218.850000,34203148.000000
2024-10-22,217.320000,218.220000,215.260000,217.970000,31317568.000000
2024-10-23,217.130000,218.720000,212.110000,213.650000,38465587.000000
2024-10-24,244.680000,262.120000,242.650000,260.480000,136566027.000000
2024-10-25,256.010000,269.490000,255.320000,269.190000,119599875.000000
2024-10-28,269.950000,273.540000,262.240000,262.510000,75573807.000000
2024-10-29,264.530000,264.980000,255.510000,259.520000,60393411.000000
2024-10-30,257.980000,263.350000,255.820000,257.550000,39192737.000000
2024-10-31,258.100000,259.750000,249.250000,249.850000,43814149.000000
2024-11-01,251.850000,254.000000,246.630000,248.980000,39940557.000000
2024-11-04,244.560000,248.900000,238.880000,242.840000,49347218.000000
2024-11-05,247.330000,255.280000,246.210000,251.440000,47575750.000000
2024-11-06,284.670000,289.590000,275.620000,288.530000,102565815.000000
2024-11-07,288.870000,299.750000,285.520000,296.910000,80780863.000000
2024-11-08,299.140000,328.710000,297.660000,321.220000,145309096.000000
2024-11-11,346.380000,358.640000,336.000000,350.000000,136195468.000000
2024-11-12,342.740000,345.840000,323.310000,328.490000,98053205.000000
2024-11-13,335.850000,344.600000,322.500000,330.240000,88501629.000000
2024-11-14,327.540000,329.980000,310.370000,311.180000,84762589.000000
2024-11-15,310.570000,324.680000,309.220000,320.720000,81760625.000000
2024-11-18,340.750000,348.550000,330.010000,338.740000,82703367.000000
2024-11-19,335.760000,347.380000,332.750000,346.000000,63850738.000000
2024-11-20,345.000000,346.600000,334.300000,342.030000,46155263.000000
2024-11-21,343.810000,347.990000,335.280000,339.640000,42059647.000000
2024-11-22,341.010000,361.530000,337.700000,352.560000,64140955.000000
2024-11-25,360.560000,361.930000,338.200000,338.590000,58214616.000000
2024-11-26,340.990000,346.960000,335.660000,338.230000,42787394.000000
2024-11-27,341.800000,342.550000,326.590000,332.890000,41218260.000000
2024-11-29,336.030000,345.450000,334.650000,345.160000,23266983.000000
2024-12-02,352.510000,360.000000,351.150000,357.090000,52589647.000000
2024-12-03,351.790000,355.690000,348.200000,351.420000,39167608.000000
2024-12-04,353.000000,358.100000,348.600000,357.930000,33639723.000000
2024-12-05,359.850000,375.430000,359.500000,369.490000,56156565.000000
2024-12-06,377.470000,389.490000,370.800000,389.220000,54673254.000000
2024-12-09,397.800000,404.800000,378.010000,389.790000,65478744.000000
2024-12-10,392.680000,409.730000,390.850000,400.990000,69464913.000000
2024-12-11,409.660000,424.880000,402.380000,424.770000,69997829.000000
2024-12-12,424.830000,429.300000,415.000000,418.100000,59683150.000000
2024-12-13,420.010000,436.300000,415.710000,436.230000,61360690.000000
2024-12-16,441.110000,463.190000,436.170000,463.020000,75002632.000000
2024-12-17,475.900000,483.990000,457.510000,479.860000,84541801.000000
2024-12-18,466.500000,488.540000,427.010000,440.130000,94323889.000000
2024-12-19,451.880000,456.360000,420.020000,436.170000,78453534.000000
2024-12-20,425.540000,447.080000,417.640000,421.060000,71567604.000000
2024-12-23,431.000000,434.510000,415.410000,430.600000,46685855.000000
2024-12-24,435.900000,462.780000,435.140000,462.280000,39904323.000000
2024-12-26,465.160000,465.330000,451.020000,454.130000,50812441.000000
2024-12-27,449.370000,450.000000,426.500000,431.660000,55964033.000000
2024-12-30,419.400000,427.000000,415.750000,417.410000,41112874.000000
2024-12-31,423.870000,427.930000,402.540000,403.840000,51917472.000000
2025-01-02,390.100000,392.730000,373.040000,379.280000,68967294.000000
2025-01-03,381.500000,411.880000,379.450000,410.440000,64344516.000000
2025-01-06,423.220000,426.430000,401.700000,411.050000,58520207.000000
2025-01-07,405.810000,414.330000,390.000000,394.360000,50752093.000000
2025-01-08,392.950000,402.500000,387.400000,394.940000,49348052.000000
2025-01-10,391.400000,399.280000,377.290000,394.740000,43160757.000000
2025-01-13,383.240000,403.790000,380.070000,403.310000,44123487.000000
2025-01-14,414.440000,422.640000,394.540000,396.360000,58108952.000000
2025-01-15,409.790000,429.800000,405.660000,428.220000,52434893.000000
2025-01-16,423.480000,424.000000,409.130000,413.820000,46272341.000000
2025-01-17,421.680000,439.740000,419.750000,426.500000,64560613.000000
2025-01-21,432.670000,433.200000,406.310000,424.070000,59879282.000000
2025-01-22,416.890000,428.000000,414.590000,415.110000,40572408.000000
2025-01-23,416.060000,420.730000,408.950000,412.380000,35105190.000000
2025-01-24,414.450000,418.880000,405.780000,406.580000,38945697.000000
2025-01-27,394.900000,406.690000,389.000000,397.150000,36164141.000000
2025-01-28,396.880000,400.590000,386.500000,398.090000,32421069.000000
2025-01-29,395.210000,398.590000,384.480000,389.100000,34018019.000000
2025-01-30,410.650000,412.500000,384.410000,400.280000,66764165.000000
2025-01-31,401.500000,419.990000,401.340000,404.600000,59832900.000000
2025-02-03,386.680000,389.170000,374.360000,383.680000,60071436.000000
2025-02-04,382.630000,394.000000,381.400000,392.210000,39713166.000000
2025-02-05,387.140000,388.390000,375.530000,378.170000,39409373.000000
2025-02-06,373.130000,375.400000,363.180000,374.320000,54615497.000000
2025-02-07,370.190000,380.550000,360.340000,361.620000,48109901.000000
2025-02-10,356.400000,362.700000,350.510000,350.730000,52315593.000000
2025-02-11,345.800000,349.370000,325.100000,328.500000,82138849.000000
2025-02-12,329.950000,346.400000,329.120000,336.510000,68913729.000000
2025-02-13,345.000000,358.690000,342.850000,355.940000,61367982.000000
2025-02-14,360.490000,362.000000,347.500000,355.840000,47743992.000000
2025-02-18,355.220000,359.100000,350.020000,354.110000,34252506.000000
2025-02-19,353.930000,367.340000,353.670000,360.560000,48829062.000000
2025-02-20,361.510000,362.300000,348.000000,354.400000,31475971.000000
2025-02-21,353.620000,354.980000,334.420000,337.800000,51551713.000000
2025-02-24,338.140000,342.400000,324.700000,330.530000,49182645.000000
2025-02-25,327.030000,328.890000,297.250000,302.800000,93305592.000000
2025-02-26,303.610000,309.000000,288.040000,290.800000,66947246.000000
2025-02-27,291.160000,297.230000,280.910000,281.950000,67753526.000000
2025-02-28,279.500000,293.620000,273.600000,292.980000,74563885.000000
2025-03-03,300.320000,303.940000,277.300000,284.650000,81544064.000000
2025-03-04,270.900000,284.350000,261.840000,272.040000,85850153.000000
2025-03-05,273.000000,279.550000,267.710000,279.100000,67093900.000000
2025-03-06,272.070000,272.650000,260.020000,263.450000,69763174.000000
2025-03-07,259.290000,266.250000,250.730000,262.670000,72348887.000000
2025-03-10,252.500000,253.370000,220.000000,222.150000,127912311.000000
2025-03-11,225.320000,237.070000,218.130000,230.580000,118717738.000000
2025-03-12,247.220000,251.840000,241.100000,248.090000,93809556.000000
2025-03-13,248.130000,248.280000,232.600000,240.680000,81124459.000000
2025-03-14,247.310000,251.580000,240.730000,249.980000,70776012.000000
2025-03-17,245.010000,245.400000,232.800000,238.010000,78515848.000000
2025-03-18,228.160000,230.100000,222.280000,225.310000,76505694.000000
2025-03-19,231.590000,241.410000,229.200000,235.860000,81132168.000000
2025-03-20,233.340000,238.000000,230.050000,236.260000,70863978.000000
2025-03-21,235.000000,249.520000,234.550000,248.710000,89618283.000000
2025-03-24,258.130000,278.640000,256.330000,278.390000,115787970.000000
2025-03-25,283.560000,288.200000,271.280000,288.140000,104200770.000000
2025-03-26,282.610000,284.900000,266.510000,272.060000,106602826.000000
2025-03-27,272.400000,291.850000,271.820000,273.130000,119199616.000000
2025-03-28,275.570000,276.100000,260.570000,263.550000,85771347.000000
2025-03-31,249.410000,260.560000,243.360000,259.160000,94880059.000000
2025-04-01,263.700000,277.450000,259.250000,268.460000,107743426.000000
2025-04-02,254.550000,284.990000,251.270000,282.760000,148299458.000000
2025-04-03,265.310000,276.300000,261.510000,267.280000,97967384.000000
2025-04-04,255.640000,261.000000,236.000000,239.430000,118046169.000000
2025-04-07,223.800000,252.000000,214.250000,233.290000,117352011.000000
2025-04-08,245.000000,250.440000,217.800000,221.860000,121667606.000000
2025-04-09,224.670000,274.690000,223.880000,272.200000,143353508.000000
2025-04-10,260.000000,262.490000,239.330000,252.400000,128673310.000000
2025-04-11,251.840000,257.740000,241.360000,252.310000,94313572.000000
2025-04-14,258.300000,261.800000,245.930000,252.350000,71756944.000000
2025-04-15,249.910000,258.750000,247.540000,254.110000,59909639.000000
2025-04-16,247.810000,251.970000,233.890000,241.550000,76644566.000000
2025-04-17,243.480000,244.340000,237.680000,241.370000,57348258.000000
2025-04-21,230.270000,232.210000,222.790000,227.500000,62496101.000000
2025-04-22,230.960000,242.790000,229.850000,237.970000,75170058.000000
2025-04-23,254.880000,259.450000,244.430000,250.740000,104245765.000000
2025-04-24,250.710000,259.540000,249.200000,259.510000,66590557.000000
2025-04-25,261.690000,286.850000,259.630000,284.950000,121581981.000000
2025-04-28,289.010000,294.860000,272.420000,285.880000,107318004.000000
2025-04-29,285.460000,293.290000,279.460000,292.030000,80220219.000000
2025-04-30,279.910000,284.450000,270.780000,282.160000,86606662.000000
2025-05-01,280.010000,290.870000,279.900000,280.520000,70628604.000000
2025-05-02,284.900000,294.780000,279.810000,287.210000,86063666.000000
2025-05-05,284.570000,284.850000,274.400000,280.260000,69821612.000000
2025-05-06,273.120000,277.730000,271.350000,275.350000,54474320.000000
2025-05-07,276.900000,277.920000,271.000000,276.220000,51315514.000000
2025-05-08,279.630000,289.800000,279.410000,284.820000,69950229.000000
2025-05-09,290.280000,307.040000,290.000000,298.260000,96008183.000000
2025-05-12,321.990000,322.210000,311.500000,318.380000,72600341.000000
2025-05-13,319.990000,337.590000,316.800000,334.070000,93566248.000000
2025-05-14,342.370000,350.000000,337.000000,347.680000,91809189.000000
2025-05-15,340.340000,346.140000,334.710000,342.820000,66958077.000000
2025-05-16,346.170000,351.620000,342.330000,349.980000,59991549.000000
2025-05-19,336.300000,343.000000,333.370000,342.090000,57732356.000000
2025-05-20,347.870000,354.990000,341.630000,343.820000,94291710.000000
2025-05-21,344.430000,347.350000,332.200000,334.620000,73302096.000000
2025-05-22,331.940000,347.270000,331.390000,341.040000,67480138.000000
2025-05-23,337.500000,343.180000,333.210000,339.340000,56016922.000000
2025-05-27,347.270000,363.790000,347.270000,362.890000,81444541.000000
2025-05-28,364.900000,365.000000,355.910000,356.900000,59844302.000000
2025-05-29,365.190000,367.710000,356.000000,358.430000,60091174.000000
2025-05-30,355.540000,363.680000,345.290000,346.460000,76487827.000000
2025-06-02,343.500000,348.020000,333.330000,342.690000,57109364.000000
2025-06-03,346.680000,355.400000,343.040000,344.270000,71729214.000000
2025-06-04,345.160000,345.600000,327.330000,332.050000,69154319.000000
2025-06-05,322.490000,324.550000,273.210000,284.700000,190417625.000000
2025-06-06,298.810000,305.500000,291.140000,295.140000,101525930.000000
2025-06-09,285.990000,309.830000,281.850000,308.580000,89509964.000000
2025-06-10,314.970000,327.830000,310.660000,326.090000,105715571.000000
2025-06-11,334.400000,335.500000,322.500000,326.430000,85276639.000000
2025-06-12,323.130000,332.560000,316.860000,319.110000,76334627.000000
2025-06-13,314.000000,332.990000,313.340000,325.310000,95064823.000000
2025-06-16,331.290000,332.050000,326.410000,329.130000,58075735.000000
2025-06-17,326.080000,327.260000,314.740000,316.350000,60558555.000000
2025-06-18,317.310000,329.320000,315.450000,322.050000,69529099.000000
2025-06-20,327.950000,332.360000,317.780000,322.160000,73321555.000000
2025-06-23,327.600000,357.540000,327.480000,348.680000,131636849.000000
2025-06-24,356.170000,356.260000,340.440000,340.470000,77390015.000000
2025-06-25,342.660000,343.000000,320.400000,327.550000,82469745.000000
2025-06-26,324.640000,331.050000,323.610000,325.780000,56581306.000000
2025-06-27,324.550000,329.340000,317.490000,323.630000,58588083.000000
2025-06-30,319.920000,325.580000,316.600000,317.660000,48915080.000000
2025-07-01,298.460000,305.890000,293.210000,300.710000,87421394.000000
2025-07-02,312.630000,316.840000,303.820000,315.650000,76393476.000000
2025-07-03,317.990000,318.450000,312.760000,315.350000,38826350.000000
2025-07-07,291.360000,296.150000,288.770000,293.940000,82704216.000000
2025-07-08,296.970000,304.050000,294.350000,297.810000,73940610.000000
2025-07-09,297.500000,300.150000,293.550000,295.880000,52462982.000000
2025-07-10,300.120000,310.480000,300.000000,309.870000,70542623.000000
2025-07-11,307.550000,314.090000,305.650000,313.510000,55124642.000000
2025-07-14,317.690000,322.600000,312.670000,316.900000,54157000.000000
2025-07-15,319.680000,321.200000,310.500000,310.780000,52949846.000000
2025-07-16,312.800000,323.500000,312.620000,321.670000,69678422.000000
2025-07-17,323.170000,324.340000,317.060000,319.410000,52355782.000000
2025-07-18,321.640000,330.900000,321.420000,329.650000,65431657.000000
2025-07-21,334.410000,338.000000,326.880000,328.490000,54223922.000000
2025-07-22,329.720000,335.410000,321.550000,332.110000,56748125.000000
2025-07-23,330.870000,336.040000,328.670000,332.560000,55645707.000000
2025-07-24,310.000000,310.150000,300.410000,305.300000,98258570.000000
2025-07-25,308.730000,323.630000,308.010000,316.060000,107003541.000000
2025-07-28,318.450000,330.490000,315.690000,325.590000,80122633.000000
2025-07-29,325.630000,326.250000,318.250000,321.200000,63768924.000000
2025-07-30,322.180000,324.450000,311.610000,319.040000,60865985.000000
2025-07-31,319.610000,321.370000,306.100000,308.270000,58125054.000000
2025-08-01,306.280000,309.310000,298.000000,302.630000,59222153.000000
2025-08-04,309.080000,312.120000,303.000000,309.260000,55922628.000000
2025-08-05,308.980000,312.450000,305.500000,308.720000,40807020.000000
2025-08-06,307.870000,320.470000,306.930000,319.910000,55104846.000000
2025-08-07,319.790000,322.400000,316.160000,322.270000,47334332.000000
2025-08-08,321.450000,335.000000,320.980000,329.650000,66147326.000000
2025-08-11,335.030000,346.640000,334.150000,339.030000,74618223.000000
2025-08-12,345.190000,345.190000,332.940000,340.840000,57378896.000000
2025-08-13,341.500000,348.980000,338.200000,339.380000,48735408.000000
2025-08-14,335.590000,340.470000,330.400000,335.580000,50708919.000000
2025-08-15,337.660000,339.300000,327.020000,330.560000,51735836.000000
2025-08-18,329.620000,336.270000,329.590000,335.160000,39557513.000000
2025-08-19,335.740000,340.550000,327.850000,329.310000,55358509.000000
2025-08-20,329.210000,331.370000,314.600000,323.900000,56023014.000000
2025-08-21,322.070000,324.900000,318.680000,320.110000,39220171.000000
2025-08-22,321.660000,340.250000,319.690000,340.010000,66356839.000000
2025-08-25,338.900000,349.530000,335.030000,346.600000,62600492.000000
2025-08-26,344.940000,351.900000,343.720000,351.670000,52814945.000000
2025-08-27,351.940000,355.390000,349.150000,349.600000,45593144.000000
2025-08-28,350.910000,353.550000,340.260000,345.980000,48108674.000000
2025-08-29,347.230000,348.750000,331.700000,333.870000,54946491.000000
2025-09-02,328.250000,333.330000,325.600000,329.360000,38961112.000000
2025-09-03,335.100000,343.330000,328.510000,334.090000,65182883.000000
2025-09-04,336.030000,338.890000,331.480000,338.530000,43583516.000000
2025-09-05,348.020000,355.870000,344.680000,350.840000,76229536.000000
