date,equity
2025-06-16,100000.0
2025-06-17,99905.28754543644
2025-06-18,99654.60257852463
2025-06-20,99346.64931009278
2025-06-23,99815.44715676413
2025-06-24,100854.88625786014
2025-06-25,100675.20336568053
2025-06-26,101343.66011708873
2025-06-27,101800.49514299631
2025-06-30,101971.01168675441
2025-07-01,100787.34378106814
2025-07-02,101065.02610557398
2025-07-03,102409.8903760179
2025-07-07,102359.95634712142
2025-07-08,101853.2491262535
2025-07-09,102177.47528172177
2025-07-10,100415.16203798263
2025-07-11,99745.55071675267
2025-07-14,100429.8211556917
2025-07-15,100265.37401055612
2025-07-16,100713.77916235528
2025-07-17,101255.96409488708
2025-07-18,101829.74654043629
2025-07-21,101816.04260217109
2025-07-22,101225.31186183597
2025-07-23,101440.04397962155
2025-07-24,101487.27937273702
2025-07-25,101785.98709701239
2025-07-28,102291.20994490897
2025-07-29,101916.30409691564
2025-07-30,101600.8403162151
2025-07-31,102126.27275160403
2025-08-01,99975.12433432403
2025-08-04,101329.48949890459
2025-08-05,101137.07150885694
2025-08-06,102574.80472667003
2025-08-07,101883.01007631964
2025-08-08,101901.28668156188
2025-08-11,101473.85083557361
2025-08-12,101901.45344360091
2025-08-13,101700.60419207935
2025-08-14,101433.43851024826
2025-08-15,101738.00329901333
2025-08-18,101653.67640296466
2025-08-19,100746.2391050086
2025-08-20,100269.64201411448
2025-08-21,100012.4564154449
2025-08-22,101150.08145536139
2025-08-25,100821.79734430267
2025-08-26,100954.23642935889
2025-08-27,101372.95857718607
2025-08-28,102256.7597758763
2025-08-29,101480.17076952173
2025-09-02,100728.15178045085
2025-09-03,100838.74880425673
2025-09-04,101238.6671623642
2025-09-05,101453.82685378683
2025-09-08,101405.39059470236
2025-09-09,101309.17555660609
2025-09-10,102455.8374728865
2025-09-11,102542.21448664878
2025-09-12,101809.12952069592
2025-09-15,102606.59658373572
2025-09-16,102201.72380010855
2025-09-17,102127.91843924556
2025-09-18,102924.29312781898
2025-09-19,103839.72074699905
2025-09-22,104834.01033211571
2025-09-23,103517.46713746566
2025-09-24,103081.67586798195
2025-09-25,102455.75554528949
2025-09-26,102575.64205290587
2025-09-29,103259.03763965993
2025-09-30,102564.47350675416
2025-10-01,102519.68134837976
2025-10-02,103347.61500804409
2025-10-03,103218.41535888615
2025-10-06,103954.13536189565
2025-10-07,103010.44605955014
2025-10-08,104238.40234834066
2025-10-09,104249.40764541108
2025-10-10,102056.51647292581
2025-10-13,103257.05747612752
2025-10-14,102421.17510718491
2025-10-15,102739.72336716653
2025-10-16,102664.82329336263
