date,equity
2025-06-16,100000.0
2025-06-17,99899.39560816018
2025-06-18,99741.67379020508
2025-06-20,99672.3972655694
2025-06-23,99574.74506477121
2025-06-24,99646.34293057413
2025-06-25,99592.89309718057
2025-06-26,99830.33665686565
2025-06-27,99899.82549393571
2025-06-30,99685.234566763
2025-07-01,99670.43801185032
2025-07-02,99892.05057080946
2025-07-03,100351.56195256667
2025-07-07,100198.74519249205
2025-07-08,100175.83382785799
2025-07-09,100224.62962322589
2025-07-10,99961.86605397635
2025-07-11,99777.63164339497
2025-07-14,99867.05579281984
2025-07-15,99945.3591641042
2025-07-16,100089.49599994223
2025-07-17,100414.29945563088
2025-07-18,100325.82533579032
2025-07-21,100236.16239900934
2025-07-22,100117.51496553503
2025-07-23,100222.36534553053
2025-07-24,100362.20277567916
2025-07-25,100430.56154498387
2025-07-28,100506.97073672168
2025-07-29,100358.21681508776
2025-07-30,100300.47483087516
2025-07-31,100493.63969865229
2025-08-01,100096.27858092764
2025-08-04,100395.2531081117
2025-08-05,100382.33526839301
2025-08-06,100369.83145446586
2025-08-07,100171.84486573047
2025-08-08,100198.90119263387
2025-08-11,100254.09970273211
2025-08-12,100390.96695696758
2025-08-13,100181.05485648816
2025-08-14,100133.34028050941
2025-08-15,100385.63371274734
2025-08-18,100532.99972873439
2025-08-19,100178.50365483548
2025-08-20,100036.5339326475
2025-08-21,99954.81507109974
2025-08-22,100119.61714082866
2025-08-25,100054.32173714261
2025-08-26,100051.98264799918
2025-08-27,100162.16043765108
2025-08-28,100337.337266718
2025-08-29,99984.388182856
2025-09-02,99942.42988854078
2025-09-03,100115.12335831292
2025-09-04,99943.20116989379
2025-09-05,100105.01482874513
2025-09-08,100174.97109995596
2025-09-09,100094.97234924685
2025-09-10,101886.80924028895
2025-09-11,101562.04889521751
2025-09-12,101382.53368040893
2025-09-15,101574.01664729096
2025-09-16,101577.39756375286
2025-09-17,101490.48569043408
2025-09-18,101344.0838686615
2025-09-19,101875.8614900551
2025-09-22,102502.03576811079
2025-09-23,102095.54372326766
2025-09-24,101940.08568052464
2025-09-25,101629.96615352225
2025-09-26,101471.52715817261
2025-09-29,101466.15453837668
2025-09-30,101471.91466933738
2025-10-01,101679.65263665534
2025-10-02,101670.15263153997
2025-10-03,101648.25031729344
2025-10-06,101856.09341401511
2025-10-07,101641.55020175054
2025-10-08,101782.16779464603
2025-10-09,101852.03714207401
2025-10-10,101451.91162261914
2025-10-13,101868.58407541903
2025-10-14,101667.26601536773
2025-10-15,101802.21742570131
2025-10-16,101948.62100896378
2025-10-17,101597.08850462851
2025-10-20,101537.52996210629
2025-10-21,101513.46322996395
2025-10-22,101393.59363240757
2025-10-23,101582.08119502848
2025-10-24,102059.06661699488
2025-10-27,102085.77468620133
2025-10-28,101848.91991668615
2025-10-29,101697.43154312213
2025-10-30,101167.90069560532
2025-10-31,101325.55769665177
2025-11-03,101265.58783011304
2025-11-04,100775.7638694405
2025-11-05,101051.72923006174
2025-11-06,100689.59444533699
2025-11-07,100753.57983911097
2025-11-10,100771.90528905233
2025-11-11,100699.3081904286
2025-11-12,100667.64114542125
2025-11-13,100214.09403853104
2025-11-14,100001.25240932002
2025-11-17,99700.13091711687
2025-11-18,99661.76245949586
2025-11-19,99721.21073351122
2025-11-20,99203.04575284311
2025-11-21,99224.2828358197
2025-11-24,99466.20311183373
2025-11-25,99498.01160171833
2025-11-26,99783.269904811
2025-11-28,99926.59232846125
2025-12-01,99929.89766824036
2025-12-02,100141.3059890364
2025-12-03,100093.86645694
2025-12-04,99964.36599897797
2025-12-05,100130.20871276512
2025-12-08,100164.16708453817
2025-12-09,100253.9586122536
2025-12-10,100252.73145999515
2025-12-11,100195.88915560402
2025-12-12,100162.95336193686
2025-12-15,100165.53889808171
2025-12-16,100609.20208304054
2025-12-17,100221.12781856235
2025-12-18,100294.97383347395
2025-12-19,100890.0086459047
2025-12-22,101381.7012120441
2025-12-23,100975.86343813685
2025-12-24,101098.63936283268
2025-12-26,101065.28039072636
2025-12-29,100896.07116287888
2025-12-30,101003.14754224895
2025-12-31,100774.20565399791
2026-01-02,100217.07988959864
2026-01-05,100365.2567441202
2026-01-06,100476.78682785417
2026-01-07,100623.2684005002
2026-01-08,100211.45055990746
2026-01-09,100511.56948163218
2026-01-12,100661.52146009699
2026-01-13,100032.60628685469
2026-01-14,99221.7162756502
2026-01-15,99296.94144109865
2026-01-16,99062.4314047299
2026-01-20,98341.63271401456
2026-01-21,98452.0508150569
2026-01-22,98638.58767331866
2026-01-23,98580.59477017667
2026-01-26,99021.65020860237
2026-01-27,98257.48485637207
2026-01-28,98005.66885386633
2026-01-29,97292.124874667
2026-01-30,97071.98826340974
2026-02-02,97539.51321691478
2026-02-03,96652.54784427382
2026-02-04,96889.62565496136
2026-02-05,96233.52479494567
2026-02-06,96708.71039023582
2026-02-09,96819.05602743654
2026-02-10,96989.36619971
2026-02-11,96156.74254887452
2026-02-12,95837.8845879451
2026-02-13,95910.64029626269
2026-02-17,96050.79589010996
2026-02-18,96148.45732154997
2026-02-19,95676.19244310909
2026-02-20,95702.96200463976
2026-02-23,94920.8626934856
2026-02-24,95474.98642385966
2026-02-25,95976.94003247627
2026-02-26,96807.36000740007
2026-02-27,95913.32615592246
2026-03-02,95727.65800876688
2026-03-03,95790.65257522301
2026-03-04,95820.75896568237
2026-03-05,96361.55032827261
2026-03-06,96377.22455262652
2026-03-09,96269.68935261708
2026-03-10,95848.2287823425
2026-03-11,95807.30084614712
2026-03-12,95471.38527850203
2026-03-13,95106.01075875526
2026-03-16,95422.7356598223
2026-03-17,95409.84378197725
2026-03-18,95030.63193445723
2026-03-19,94960.42647716092
2026-03-20,94489.58942396461
2026-03-23,94827.38172286516
2026-03-24,93974.9266150327
2026-03-25,93954.49247337495
2026-03-26,93981.90787959503
2026-03-27,93026.33535060573
2026-03-30,93325.39653699227
2026-03-31,93752.15013479449
2026-04-01,93928.56482852358
2026-04-02,93743.25407139036
2026-04-06,93795.18772871725
2026-04-07,93500.01720956914
2026-04-08,93560.25576435945
2026-04-09,93368.5725171141
2026-04-10,93182.04193960955
2026-04-13,93373.22046135389
2026-04-14,93843.18364105315
2026-04-15,94326.36371369378
2026-04-16,94410.8034102279
2026-04-17,94941.37482094276
2026-04-20,94951.06302411598
2026-04-21,94583.8100581306
2026-04-22,94746.41353712126
2026-04-23,94350.90677496127
2026-04-24,94602.11225829947
2026-04-27,94334.29983138143
2026-04-28,94343.33956850416
2026-04-29,94229.17403559946
2026-04-30,94307.06789855102
2026-05-01,94798.11690921424
2026-05-04,94620.60617238979
2026-05-05,95057.37586925033
2026-05-06,95384.45380676129
2026-05-07,95508.26725930294
2026-05-08,95748.38918243954
2026-05-11,95331.65040041736
2026-05-12,95278.59524908496
2026-05-13,95287.16486977611
2026-05-14,95293.28735926561
2026-05-15,95138.35827029581
2026-05-18,95159.39423175146
2026-05-19,94941.33035888884
2026-05-20,95558.19556061717
2026-05-21,95760.06728832715
2026-05-22,95805.61074268255
2026-05-26,96253.42211208302
2026-05-27,96263.2399260353
2026-05-28,96231.18475923472
2026-05-29,96184.34477714812
2026-06-01,96216.31462565305
2026-06-02,96031.47256521907
2026-06-03,95770.10445275687
2026-06-04,95672.18849501244
2026-06-05,95359.90293904374
2026-06-08,95305.81076069977
2026-06-09,95161.10659959159
2026-06-10,94799.02346887202
2026-06-11,95464.652561776
2026-06-12,95585.40198997686
2026-06-15,96119.52702547025
2026-06-16,96354.54025543045
2026-06-17,96150.81340519586
2026-06-18,96499.73975048616
2026-06-22,96407.71003487258
2026-06-23,96430.76369322668
2026-06-24,97154.86175524529
2026-06-25,96763.65476646184
2026-06-26,97285.38967740837
2026-06-29,97350.70208253106
2026-06-30,97204.49659928249
2026-07-01,97464.44419316523
2026-07-02,97677.39403167015
2026-07-06,97868.56561936166
2026-07-07,97927.9323156628
2026-07-08,97538.71814798305
2026-07-09,97876.61059668381
2026-07-10,97799.3711324851
2026-07-13,97515.28638254851
2026-07-14,97061.52995826892
2026-07-15,97457.74517349472
2026-07-16,97416.39806865869
2026-07-17,97379.25750739058
2026-07-20,97169.02485578551
2026-07-21,97310.9732064616
2026-07-22,96707.63236026395
2026-07-23,95833.42432122273
2026-07-24,96159.51247652106
2026-07-27,96957.96138001009
2026-07-28,97619.57629599885
2026-07-29,97545.70429726082
2026-07-30,97774.00623846921
2026-07-31,97492.77680628299
2026-08-03,98160.06594161206
2026-08-04,98717.20483741612
2026-08-05,98851.46367182724
2026-08-06,98432.47372275575
2026-08-07,99693.44761110633
2026-08-10,99959.42798496594
2026-08-11,99787.78696782156
2026-08-12,99529.01074885677
2026-08-13,100266.09261833887
2026-08-14,99643.23468047095
2026-08-17,98765.48532859494
2026-08-18,98936.41527002602
2026-08-19,99791.18957034699
2026-08-20,99518.40738588627
2026-08-21,99930.7808475873
2026-08-24,100034.67705760902
