config,alignment,aggregation,require_both_windows,rsi_mode,start,end,initial_equity,final_equity,total_return_pct,cagr_pct,sharpe,sortino,max_drawdown_pct,max_drawdown_date,avg_positions,max_positions_used,exposure_pct,universe_size,n_trades,hit_rate_pct,avg_win_pct,avg_loss_pct,profit_factor,avg_holding_days,expectancy_pct,stops_hit,benchmark,benchmark_return_pct,benchmark_cagr_pct,benchmark_sharpe,benchmark_max_drawdown_pct,excess_return_pct,beta,alpha_annual_pct,skipped
strict_layers_both_zones,strict,layers,True,zones,2024-08-26,2026-08-24,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,2024-08-26,0.0,0,0.0,57,0,,,,,,,0,SPY,36.39,16.85,1.024,-19.0,-36.39,0.0,0.0,58
strict_layers_both_midline,strict,layers,True,midline,2024-08-26,2026-08-24,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,2024-08-26,0.0,0,0.0,57,0,,,,,,,0,SPY,36.39,16.85,1.024,-19.0,-36.39,0.0,0.0,58
strict_layers_any_zones,strict,layers,False,zones,2024-08-26,2026-08-24,100000.0,98530.04,-1.47,-0.74,-0.28433,-0.218088,-5.64,2026-06-04,0.76,5,4.19,57,6,16.67,25.42,-10.83,0.465,92.8,-4.787,5,SPY,36.39,16.85,1.024,-19.0,-37.86,0.019,-1.04,58
strict_layers_any_midline,strict,layers,False,midline,2024-08-26,2026-08-24,100000.0,91096.49,-8.9,-4.57,-0.366953,-0.415892,-21.6,2026-07-24,3.43,13,19.93,57,54,12.96,21.69,-6.8,0.437,45.7,-3.109,46,SPY,36.39,16.85,1.024,-19.0,-45.29,0.216,-7.77,58
strict_prototype_both_zones,strict,prototype,True,zones,2024-08-26,2026-08-24,100000.0,103141.14,3.14,1.56,0.177482,0.213049,-28.97,2026-03-30,11.84,20,59.4,57,126,25.4,23.99,-6.88,1.117,68.5,0.958,71,SPY,36.39,16.85,1.024,-19.0,-33.25,0.525,-5.5,58
strict_prototype_both_midline,strict,prototype,True,midline,2024-08-26,2026-08-24,100000.0,107044.33,7.04,3.47,0.27293,0.325459,-27.81,2026-03-30,11.8,20,59.44,57,117,27.35,23.46,-6.88,1.282,73.5,1.417,65,SPY,36.39,16.85,1.024,-19.0,-29.34,0.54,-3.83,58
strict_prototype_any_zones,strict,prototype,False,zones,2024-08-26,2026-08-24,100000.0,103755.03,3.76,1.87,0.193312,0.239035,-27.04,2026-03-27,11.78,20,59.04,57,173,26.01,21.86,-7.27,1.099,49.6,0.306,99,SPY,36.39,16.85,1.024,-19.0,-32.63,0.465,-4.44,58
strict_prototype_any_midline,strict,prototype,False,midline,2024-08-26,2026-08-24,100000.0,107783.65,7.78,3.83,0.290152,0.346739,-29.4,2026-03-30,11.85,20,59.37,57,121,26.45,24.15,-6.76,1.306,71.3,1.412,67,SPY,36.39,16.85,1.024,-19.0,-28.6,0.537,-3.41,58
loose_layers_both_zones,loose,layers,True,zones,2024-08-26,2026-08-24,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,2024-08-26,0.0,0,0.0,57,0,,,,,,,0,SPY,36.39,16.85,1.024,-19.0,-36.39,0.0,0.0,58
loose_layers_both_midline,loose,layers,True,midline,2024-08-26,2026-08-24,100000.0,85480.97,-14.52,-7.57,-0.419853,-0.525845,-27.34,2026-07-24,8.27,20,46.38,57,142,14.08,25.51,-6.78,0.598,42.1,-2.229,97,SPY,36.39,16.85,1.024,-19.0,-50.91,0.385,-13.23,58
loose_layers_any_zones,loose,layers,False,zones,2024-08-26,2026-08-24,100000.0,87996.14,-12.0,-6.21,-0.361724,-0.403782,-26.75,2026-07-24,7.53,19,42.94,57,111,18.92,21.45,-7.6,0.619,49.2,-2.109,87,SPY,36.39,16.85,1.024,-19.0,-48.39,0.317,-10.76,58
loose_layers_any_midline,loose,layers,False,midline,2024-08-26,2026-08-24,100000.0,90179.92,-9.82,-5.05,-0.247832,-0.265644,-23.57,2026-07-23,10.47,20,54.46,57,235,22.98,14.49,-5.47,0.781,32.3,-0.881,88,SPY,36.39,16.85,1.024,-19.0,-46.21,0.381,-10.45,58
loose_prototype_both_zones,loose,prototype,True,zones,2024-08-26,2026-08-24,100000.0,101755.88,1.76,0.88,0.139338,0.171639,-26.4,2026-03-27,11.75,20,59.08,57,147,27.21,20.07,-7.26,1.056,58.2,0.18,84,SPY,36.39,16.85,1.024,-19.0,-34.63,0.461,-5.32,58
loose_prototype_both_midline,loose,prototype,True,midline,2024-08-26,2026-08-24,100000.0,106622.19,6.62,3.27,0.261578,0.307246,-26.83,2026-03-30,11.81,20,59.17,57,170,23.53,22.45,-6.09,1.201,50.6,0.622,75,SPY,36.39,16.85,1.024,-19.0,-29.77,0.528,-3.74,58
loose_prototype_any_zones,loose,prototype,False,zones,2024-08-26,2026-08-24,100000.0,101472.34,1.47,0.74,0.12761,0.143204,-31.42,2026-03-27,11.7,20,58.7,57,206,33.01,16.53,-8.04,1.034,41.3,0.073,119,SPY,36.39,16.85,1.024,-19.0,-34.92,0.407,-4.82,58
loose_prototype_any_midline,loose,prototype,False,midline,2024-08-26,2026-08-24,100000.0,96579.43,-3.42,-1.73,-0.008531,-0.009323,-25.16,2026-07-23,11.36,20,57.92,57,256,28.52,13.47,-5.69,0.934,32.3,-0.225,87,SPY,36.39,16.85,1.024,-19.0,-39.81,0.421,-7.33,58
