ticker,entry_date,entry_price,shares,entry_score,stop_price,exit_date,exit_price,exit_reason,exit_score,pnl,return_pct,holding_days
MELI,2025-06-20,2430.764775,2.056965795877966,2,2295.269953674195,2025-08-06,2294.1223186973584,stop_loss,,-281.06885887928354,-5.621377177585673,47
VEEV,2025-07-21,282.871365,17.665626562093607,2,269.40222054666276,2025-08-29,269.2675194363894,stop_loss,,-240.3204555351388,-4.809198542811355,39
INTU,2025-07-22,767.833725,6.507419969513097,2,742.1209969269919,2025-08-11,741.7499364285285,stop_loss,,-169.73816663055095,-3.3970621141278357,20
SNOW,2025-07-22,215.01745499999998,23.238190198700973,2,204.0719302186245,2025-08-01,203.96989425351518,stop_loss,,-256.7253178585168,-5.137983214657993,10
META,2025-07-24,717.848745,6.970304479330694,2,690.2792527180311,2025-10-30,668.8554050000001,stop_loss,,-341.49849725937077,-6.825022728151442,98
ZS,2025-07-25,284.39212499999996,17.615322146053558,2,269.61857358845003,2025-08-07,269.4837643016558,stop_loss,,-262.61557637089624,-5.242184782136339,13
INTU,2025-08-22,655.3275,7.566276038993334,2,618.7879260212753,2025-12-16,653.9028850000001,signal,-2.0,-10.779030339289758,-0.21738977839322882,116
NET,2025-08-27,201.5007,24.674706815009067,2,186.7623054496848,2025-11-21,186.66892429695994,stop_loss,,-365.96971701848827,-7.360657160516093,86
MSFT,2025-08-29,508.684215,9.76968448720984,2,493.26889121913,2025-09-05,493.0222567735205,stop_loss,,-153.0123903245653,-3.0789157132543377,7
ORCL,2025-08-29,237.728805,20.904846950179284,2,222.38220011870266,2025-09-02,221.889,stop_loss,,-331.12869924568423,-6.662972541337586,4
SHOP,2025-09-05,146.46319499999998,33.82548174727499,2,136.60409036854224,2025-11-18,136.535788323358,stop_loss,,-335.79931333852966,-6.7780896604378915,74
MELI,2025-09-17,2396.89785,2.069847203025805,2,2258.760455036527,2025-10-01,2257.631074809009,stop_loss,,-288.26094510349577,-5.81029246577992,14
MSFT,2025-09-30,513.39657,9.682876646065845,2,498.4465608536984,2025-11-06,498.19733757327157,stop_loss,,-147.1722927028954,-2.960524731734848,37
ORCL,2025-10-10,300.43013999999994,16.50592672043993,2,272.79349655459635,2025-10-21,272.6570998063191,stop_loss,,-458.419766240729,-9.24442540741114,11
TEAM,2025-10-10,149.284605,33.21761058651364,2,137.73917774306494,2026-01-13,137.6703081541934,stop_loss,,-385.7991898601771,-7.779969572754397,95
VEEV,2025-10-23,287.873865,17.2373481484978,2,272.509168787849,2025-11-19,272.3729142034551,stop_loss,,-267.1952855127795,-5.384632883066665,27
META,2025-11-12,628.4440649999999,7.865984368112906,2,588.1547690962965,2025-11-18,587.8606917117484,stop_loss,,-319.22817989067755,-6.457754245519299,6
META,2025-11-19,594.01686,8.076327985177716,2,555.5406981999059,2025-12-22,661.159255,signal,-2.0,542.264003730357,11.303112675960092,33
ORCL,2025-11-19,219.16952999999998,21.889333750386715,2,196.30784473412513,2025-11-21,196.20969081175807,stop_loss,,-502.57558284663526,-10.475835390184907,2
VEEV,2025-12-03,239.36962499999998,19.974654755247556,2,223.48420695891838,2025-12-12,215.901995,stop_loss,,-468.75780717388994,-9.803929801034695,9
ZS,2025-12-08,243.62175,19.77750316296069,2,223.13955560527063,2026-01-02,223.027985827468,stop_loss,,-407.293236059518,-8.453171431751061,25
SNOW,2025-12-17,220.19004,21.67450905305318,2,200.92533968719567,2026-01-29,200.8248770173521,stop_loss,,-419.73040038125254,-8.794749745559749,43
VEEV,2025-12-19,218.979435,21.834916470470805,2,204.4261883028749,2026-01-30,204.32397520872345,stop_loss,,-320.0007403788668,-6.692619236722641,42
AAPL,2025-12-26,274.29708,17.426577557882997,2,265.33550244585547,2026-01-06,265.20283469463254,stop_loss,,-158.48157114439923,-3.3154728826743085,11
ZS,2026-01-07,223.13151,21.470423946889408,2,209.87564792557785,2026-01-14,209.77071010161507,stop_loss,,-286.8620380878813,-5.987858863315598,7
AAPL,2026-01-15,260.85036,17.984329004319655,2,252.11573838586605,2026-01-20,251.98968051667313,stop_loss,,-159.3533750299759,-3.3968438775882404,5
SHOP,2026-01-29,142.4712,32.803129442873605,2,130.20054586300597,2026-02-03,130.13544559007448,stop_loss,,-404.651348684286,-8.658419673537898,5
INTU,2026-02-10,434.887335,10.666451440928283,2,388.55671656784034,2026-02-17,388.36243820955644,stop_loss,,-496.25555240946636,-10.6981493932086,7
CRM,2026-02-11,193.246575,23.961761633845622,2,175.70690829854252,2026-02-23,175.61905484439325,stop_loss,,-422.3864361644585,-9.121776236192936,12
NOW,2026-02-11,105.63278999999999,43.83608883858006,2,93.71899685729485,2026-04-09,93.67213735886621,stop_loss,,-524.3082317441375,-11.322859730519074,57
ZS,2026-02-13,174.42717,26.42315639027778,2,155.9392701685815,2026-02-23,155.8613005334972,stop_loss,,-490.56887243488626,-10.64390912637222,10
INTU,2026-02-18,380.44012499999997,12.076307766984382,2,334.62529697162665,2026-05-21,312.13385500000004,stop_loss,,-824.8875389347314,-17.954538838404577,92
TEAM,2026-02-18,82.03099499999999,56.007025593313955,2,67.59122717738767,2026-03-24,67.55743156379897,stop_loss,,-810.6212377977636,-17.64401789372544,34
VEEV,2026-02-18,176.65828499999998,26.006773678404098,2,160.75924953560767,2026-04-09,160.67886991083986,stop_loss,,-415.57303173706254,-9.045381080859084,50
WDAY,2026-02-18,141.65079,32.4340728096893,2,126.47985634224297,2026-02-23,126.41661641407185,stop_loss,,-494.10629528143903,-10.754739585940998,5
CRM,2026-02-24,177.72881999999998,25.235395517486623,2,160.1906140708461,2026-04-24,175.53219,signal,-2.0,-55.4328268555759,-1.2359447387317202,59
WDAY,2026-02-26,136.95844499999998,33.26117757500476,2,120.29670762632058,2026-04-08,120.23655927250744,stop_loss,,-556.1896105710673,-12.209459392951306,41
ABNB,2026-05-21,134.73733499999997,32.53639740654484,2,125.02726538318262,2026-08-24,191.75,end_of_period,,1854.9867256462107,42.313932511727394,95
AAPL,2026-06-17,301.040445,14.594106587732684,2,286.53184931365445,2026-06-25,286.38858338899763,stop_loss,,-213.83083005967694,-4.867074127199866,8
INTU,2026-06-26,260.59022999999996,16.82865261687276,2,229.17712923227697,2026-08-24,371.26,end_of_period,,1862.4231145192068,42.46888688037156,59
NET,2026-06-26,225.99293999999998,19.404953340670613,2,199.41494908178262,2026-08-24,283.78,end_of_period,,1121.355202994533,25.570294364062885,59
SNOW,2026-06-29,251.08548,17.58954567094186,2,222.4190479688399,2026-08-24,326.0,end_of_period,,1317.7123709566874,29.83626134016193,56
ORCL,2026-07-07,143.79185999999999,31.012991930982377,2,124.45814044507122,2026-07-16,124.3959113748487,stop_loss,,-601.5263982055658,-13.4889058568067,9
ORCL,2026-07-20,124.332135,35.78482520628522,2,107.69727025723401,2026-08-24,144.23,end_of_period,,712.0416210032603,16.00379901784843,35
AAPL,2026-08-19,310.29506999999995,15.04430217496244,2,294.9639703238873,2026-08-24,311.42,end_of_period,,16.923786845681445,0.3625355697723709,5
MELI,2026-08-20,1898.70888,2.4622437422160184,2,1762.2384189285074,2026-08-24,1981.73,end_of_period,,204.4182331917654,4.372503909077419,4
